DATE;TM;TN;TX
09/02/2003;27.85;21.5;34.2
10/02/2003;26.65;21.8;31.5
11/02/2003;27;23;31
12/02/2003;28.1;23.7;32.5
13/02/2003;26.2;23.4;29
14/02/2003;25.25;21.2;29.3
15/02/2003;24.95;20.9;29
16/02/2003;24.55;19.8;29.3
17/02/2003;25.45;21.1;29.8
18/02/2003;23.6;18.6;28.6
19/02/2003;24;19;29
20/02/2003;24.9;20;29.8
21/02/2003;26.2;21.7;30.7
22/02/2003;25.95;21;30.9
23/02/2003;26.65;21.6;31.7
24/02/2003;26.05;22.6;29.5
25/02/2003;27.6;22.7;32.5
26/02/2003;27.5;22.4;32.6
27/02/2003;26.75;22.3;31.2
28/02/2003;27;22.1;31.9
01/03/2003;26.95;22.1;31.8
02/03/2003;27.2;22.4;32
03/03/2003;25.2;20.1;30.3
04/03/2003;26.7;22.1;31.3
05/03/2003;26.05;21;31.1
06/03/2003;25.2;20.6;29.8
07/03/2003;26;21.1;30.9
08/03/2003;26.75;22.3;31.2
09/03/2003;26.6;20.6;32.6
10/03/2003;26.4;21;31.8
11/03/2003;26.05;21.6;30.5
12/03/2003;25.15;20.4;29.9
13/03/2003;25.55;21.6;29.5
14/03/2003;26;21.6;30.4
15/03/2003;26.35;22;30.7
16/03/2003;26.55;21.6;31.5
17/03/2003;26.95;22.2;31.7
18/03/2003;26.3;22.8;29.8
19/03/2003;26.45;21.6;31.3
20/03/2003;27.1;21.9;32.3
21/03/2003;27.45;21.6;33.3
22/03/2003;26.95;21.3;32.6
23/03/2003;25.7;21.1;30.3
24/03/2003;25.6;20.7;30.5
25/03/2003;24.65;19.3;30
26/03/2003;24.45;19.7;29.2
27/03/2003;24.85;20;29.7
28/03/2003;25.05;20.1;30
29/03/2003;24.2;18.7;29.7
30/03/2003;25.9;20.6;31.2
31/03/2003;26;20.9;31.1
