"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","probas"
"yes","12","A","L","F",0.681578600080539
"no","12","A","L","F",0.753699265254094
"yes","1","L","L","F",0.0192499259321379
"no","1","L","L","F",0.0272942326953089
"yes","2","L","L","F",0.0301258943854276
"no","2","L","L","F",0.0425180994770281
"yes","3","L","L","F",0.00351164454732535
"no","3","L","L","F",0.00501273251216922
"yes","4","L","L","F",1.21827910691628e-08
"no","4","L","L","F",1.74166842970027e-08
"yes","5","L","L","F",0.0562652711346566
"no","5","L","L","F",0.0785391259986644
"yes","6","L","L","F",0.999999973841858
"no","6","L","L","F",0.99999998170265
"yes","7","L","L","F",0.999999974656224
"no","7","L","L","F",0.99999998227229
"yes","9","L","L","F",0.673778457926224
"no","9","L","L","F",0.747010048026479
"yes","10","L","L","F",0.614295505878708
"no","10","L","L","F",0.69483224639846
"yes","11","L","L","F",0.843025943018296
"no","11","L","L","F",0.884762233193173
"yes","12","L","L","F",0.521134997846617
"no","12","L","L","F",0.608734207891887
"yes","1","A","A","V",0.0399625666188827
"no","1","A","A","V",0.0561667341086485
"yes","2","A","A","V",0.0618034754043558
"no","2","A","A","V",0.0860697996402101
"yes","3","A","A","V",0.00741820990306504
"no","3","A","A","V",0.0105714831854898
"yes","4","A","A","V",2.58369522861148e-08
"no","4","A","A","V",3.6936859211461e-08
"yes","5","A","A","V",0.112247545581584
"no","5","A","A","V",0.153088237223066
"yes","6","A","A","V",0.99999998766576
"no","6","A","A","V",0.999999991372326
"yes","7","A","A","V",0.999999988049755
"no","7","A","A","V",0.999999991640927
"yes","9","A","A","V",0.814135058706738
"no","9","A","A","V",0.862298145736296
"yes","10","A","A","V",0.771567945823612
"no","10","A","A","V",0.828436987557625
"yes","11","A","A","V",0.919286986495062
"no","11","A","A","V",0.942138647138408
"yes","12","A","A","V",0.69770051444901
"no","12","A","A","V",0.767415714954312
"yes","1","L","A","V",0.0207249428836577
"no","1","L","A","V",0.0293671840739216
"yes","2","L","A","V",0.0324067407843468
"no","2","L","A","V",0.0456929641996872
"yes","3","L","A","V",0.00378537727030147
"no","3","L","A","V",0.00540284064180336
"yes","4","L","A","V",1.31360481641237e-08
"no","4","L","A","V",1.87794736355756e-08
"yes","5","L","A","V",0.0604018928267251
"no","5","L","A","V",0.0841672735981645
"yes","6","L","A","V",0.999999975740103
"no","6","L","A","V",0.999999983030452
"yes","7","L","A","V",0.999999976495372
"no","7","L","A","V",0.999999983558755
"yes","9","L","A","V",0.690115743126689
"no","9","L","A","V",0.760980882218864
"yes","10","L","A","V",0.631984638617032
"no","10","L","A","V",0.710568076297582
"yes","11","L","A","V",0.852739755441368
"no","11","L","A","V",0.892223521494035
"yes","12","L","A","V",0.539896559158329
"no","12","L","A","V",0.626523327072861
"yes","1","A","L","V",0.0411937778529413
"no","1","A","L","V",0.0578670894864221
"yes","2","A","L","V",0.0636629637127666
"no","2","A","L","V",0.0885904506408578
"yes","3","A","L","V",0.00765475299224467
"no","3","A","L","V",0.0109074691984581
"yes","4","A","L","V",2.66671654669386e-08
"no","4","A","L","V",3.81237432790818e-08
"yes","5","A","L","V",0.115438006882275
"no","5","A","L","V",0.157233930972797
"yes","6","A","L","V",0.999999988049755
"no","6","A","L","V",0.999999991640927
"yes","7","A","L","V",0.999999988421794
"no","7","A","L","V",0.999999991901165
"yes","9","A","L","V",0.818873407501109
"no","9","A","L","V",0.866010725892766
"yes","10","A","L","V",0.777094361946314
"no","10","A","L","V",0.832885571415315
"yes","11","A","L","V",0.921602781532743
"no","11","A","L","V",0.943838844000509
"yes","12","A","L","V",0.704329176331193
"no","12","A","L","V",0.773013032723674
"yes","1","L","L","V",0.0213766572062757
"no","1","L","L","V",0.0302822576182736
"yes","2","L","L","V",0.0334132657193642
"no","2","L","L","V",0.0470920637888497
"yes","3","L","L","V",0.00390653680942074
"no","3","L","L","V",0.00557548100244591
"yes","4","L","L","V",1.35581459546057e-08
"no","4","L","L","V",1.93829103908905e-08
"yes","5","L","L","V",0.0622220082810825
"no","5","L","L","V",0.0866374888228473
"yes","6","L","L","V",0.999999976495372
"no","6","L","L","V",0.999999983558755
"yes","7","L","L","V",0.999999977227128
"no","7","L","L","V",0.999999984070611
"yes","9","L","L","V",0.696838453495449
"no","9","L","L","V",0.76668597798926
"yes","10","L","L","V",0.639309337477398
"no","10","L","L","V",0.717029019805523
"yes","11","L","L","V",0.856667203388483
"no","11","L","L","V",0.89522731513749
"yes","12","L","L","V",0.547742493974214
"no","12","L","L","V",0.633893755522845
"yes","8","A","A","F",0
"no","8","A","A","F",0
"yes","8","L","A","F",0
"no","8","L","A","F",0
"yes","8","A","L","F",0
"no","8","A","L","F",0
"yes","8","L","L","F",0
"no","8","L","L","F",0
"yes","8","A","A","V",0
"no","8","A","A","V",0
"yes","8","L","A","V",0
"no","8","L","A","V",0
"yes","8","A","L","V",0
"no","8","A","L","V",0
"yes","8","L","L","V",0
"no","8","L","L","V",0
