"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","1","2","3","4","5"
"no",2,"L","A","F",0.260289210383616,0.575970598292893,0.134971168591159,0.0251793163222211,0.00358970641011036
"yes",3,"L","A","F",0.460068888617178,0.465121901321329,0.0627246166979816,0.0105990518856123,0.00148554147789937
"no",3,"L","A","F",0.227444527507659,0.582911752841385,0.155450406360152,0.029905823659917,0.00428748963088788
"yes",4,"L","A","F",0.416198956044429,0.495674500546858,0.0737167728303114,0.0126347342543107,0.00177503632409115
"no",4,"L","A","F",0.19763702382669,0.583788892176998,0.177976500880923,0.0354773690326561,0.005120214082734
"yes",5,"L","A","F",0.373617570651805,0.522833172287475,0.0863747032542772,0.0150537271626925,0.00212082664375124
"no",5,"L","A","F",0.17087190533274,0.578574848771898,0.202411688939363,0.0420278781260579,0.00611367882994129
"yes",6,"L","A","F",0.332908425624757,0.545779603255969,0.100853170420196,0.0179249921886903,0.00253380851038698
"no",6,"L","A","F",0.147067092765358,0.567431138896341,0.228497684381116,0.0497055945282581,0.00729848942892619
"yes",7,"L","A","F",0.294549114091368,0.563810634923894,0.117284728585717,0.0213285573107028,0.0030269650883189
"no",7,"L","A","F",0.126074347860777,0.550702968352726,0.255840040023613,0.0586717438198208,0.00871089994306373
"yes",8,"L","A","F",0.25889439212276,0.576369295951121,0.135763824212839,0.025356730638469,0.00361575707481121
"no",8,"L","A","F",0.107699787332188,0.528907593840444,0.283901109076049,0.0690977301170456,0.0103937796342737
"yes",9,"L","A","F",0.226171899880157,0.583066621815733,0.156327697575209,0.0301151985357667,0.00431858219313497
"no",9,"L","A","F",0.0917221408742894,0.502714674470958,0.312005100325238,0.0811603715916888,0.0123977127378252
"yes",10,"L","A","F",0.196488760166743,0.583695135588235,0.178934921526389,0.0357238684950205,0.00515731422361165
"no",10,"L","A","F",0.0779078776004142,0.472917528955169,0.339357716017862,0.0950346421538352,0.0147822352727202
"yes",11,"L","A","F",0.16984622845187,0.578235370435316,0.203443207873528,0.0423172603592252,0.00615793288006028
"no",11,"L","A","F",0.0660229424785534,0.440395383333568,0.365081057307741,0.110883411489675,0.0176172053904636
"yes",12,"L","A","F",0.146159117931534,0.566856456204626,0.229588989024498,0.0500441805070523,0.00735125633228939
