"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","1","2","3","4","5"
"no","2","L","A","F",0.103029307032497,0.646305404970982,0.215273403987504,0.0311083652009057,0.00428351880811173
"yes","3","L","A","F",0.999996728802687,3.1455049239737e-06,1.11906225841452e-07,1.21697388832942e-08,1.61642432772169e-09
"no","3","L","A","F",0.999992203839369,7.4965998831944e-06,2.6670438846299e-07,2.90039560146838e-08,3.85240284117572e-09
"yes","5","L","A","F",0.0040917953872124,0.0925075388063987,0.397045471695879,0.398998117690119,0.107357076420391
"no","5","L","A","F",0.00172095909671837,0.0412185534875449,0.247365738429489,0.486916072340076,0.222778676646172
"yes","6","L","A","F",0.0136884784097075,0.251662234617807,0.501717724454632,0.198551041270119,0.0343805212477341
"no","6","L","A","F",0.0057895311877898,0.125817868572894,0.448533419691939,0.341640523433864,0.0782186571135134
"yes","7","L","A","F",0.185700684764559,0.670105436489698,0.126049032840681,0.0159827345250584,0.00216211138000366
"no","7","L","A","F",0.0873306877926024,0.626161409290511,0.244322396444831,0.0370479440807121,0.00513756239134289
"yes","9","L","A","F",0.0176242497072563,0.300670148475134,0.491480933907181,0.163419754327094,0.0268049135833348
"no","9","L","A","F",0.00747136658128721,0.156345158745308,0.477267255482944,0.297316512833508,0.061599706356953
"yes","10","L","A","F",0.294699889125342,0.621085301979433,0.0742292857960791,0.00880431017519823,0.00118121292394802
"no","10","L","A","F",0.149167464012345,0.671066173854657,0.156292257150271,0.0206635301384345,0.00281057484429281
"yes","11","L","A","F",0.371167315467604,0.567713610166402,0.0540296526013645,0.00625295351035648,0.000836468254272971
"no","11","L","A","F",0.198500597731736,0.667190390955804,0.117576983688552,0.0147407892834641,0.0019912383404439
"yes","12","L","A","F",0.0546786418059534,0.54617546939028,0.331232803834074,0.0594424717813827,0.00847061318831033
"no","12","L","A","F",0.0236945230264351,0.363420677070331,0.464928076666477,0.128002644193661,0.019954079043096
"yes","1","A","L","F",0.120573683151389,0.660522900308824,0.189081624237602,0.0262306549190731,0.00359113738311156
"no","1","A","L","F",0.0543982980137224,0.545151196693424,0.332192455135989,0.0597416516176209,0.00851639853924324
"yes","2","A","L","F",0.221420659460963,0.659551684310299,0.104425014666041,0.0128681256087524,0.00173451595394369
"no","2","A","L","F",0.106606141312066,0.649821076268746,0.209459597220688,0.029989233841296,0.00412395135720356
"yes","3","A","L","F",0.999996851163883,3.02784534556011e-06,1.07720287689794e-07,1.17145225742021e-08,1.55596069362218e-09
"no","3","A","L","F",0.999992495458399,7.21618614307751e-06,2.56728114211846e-07,2.79190425223064e-08,3.70830122164989e-09
"yes","5","A","L","F",0.00425012394177265,0.0957276985701951,0.40319742174067,0.393066782719518,0.103757973027845
"no","5","A","L","F",0.00178771482469328,0.0427460884667823,0.253688247958895,0.485530440719167,0.216247508030463
"yes","6","A","L","F",0.0142128430627344,0.25863577901134,0.500962011429435,0.193052259071719,0.0331371074247713
"no","6","A","L","F",0.00601315554837444,0.130012756869334,0.453371479496351,0.335088838080561,0.0755137700053796
"yes","7","A","L","F",0.191534732117385,0.668912365321489,0.122074915500069,0.0153965827396955,0.00208140432136128
"no","7","A","L","F",0.0904174564013599,0.630804001601326,0.238106836787606,0.0357253666221081,0.00494633858759974
"yes","9","A","L","F",0.0182965851663555,0.308326609038068,0.488955383960433,0.158593269290013,0.0258281525451306
"no","9","A","L","F",0.00775944590991538,0.161346383065597,0.480701965603368,0.290759738861888,0.0594324665592313
"yes","10","A","L","F",0.302685420048923,0.615993718658819,0.0717052625724154,0.0084785197077748,0.00113707901206772
"no","10","A","L","F",0.154070929621019,0.671715540248289,0.151597633338972,0.0199101691436564,0.00270572764806454
"yes","11","A","L","F",0.380108204233573,0.560924113892632,0.0521416350658104,0.00602084208046316,0.000805204727521214
"no","11","A","L","F",0.204635716591946,0.665426402413049,0.113821640640976,0.0141993429950714,0.00191689735895684
"yes","12","A","L","F",0.056682977530965,0.553278065808855,0.324499719492379,0.0573828892645387,0.00815634790326247
"no","12","A","L","F",0.0245926320916195,0.371605576058778,0.46058688735752,0.123992875428012,0.0192220290640701
"yes","1","L","L","F",0.123409153679853,0.662180327224007,0.185345214836422,0.0255676619348144,0.00349764232490402
"no","1","L","L","F",0.0557762557841679,0.550112225733443,0.327518041976833,0.0582977343318285,0.00829574217372797
"yes","2","L","L","F",0.226018189475556,0.657702308616265,0.102052946067167,0.0125372798604882,0.00168927598052337
"no","2","L","L","F",0.109153913423692,0.652117779440057,0.20547673853071,0.0292349281693876,0.00401664043615335
"yes","3","L","L","F",0.999996933431143,2.9487391302041e-06,1.04905952591494e-07,1.14084633962008e-08,1.51531054370935e-09
"no","3","L","L","F",0.999992691523051,7.02765515903092e-06,2.50020754433145e-07,2.71896207770794e-08,3.61141516691532e-09
"yes","5","L","L","F",0.0043636454153822,0.0980216936948453,0.407407115437762,0.388885722171542,0.101321823280468
"no","5","L","L","F",0.00183558621084138,0.0438383677390969,0.258118087302315,0.484413617551021,0.211794341196725
