codeUC;saison;verger;variete;nature;arbre;UCmere;nombreApicale;nombreLaterale;croissance;orientation;hauteur;positionUC1;positionUC;PUCM;PUCGM;diamUCM1;diamUCM2;diamAxeI;longueurAxeSec;date;stadeInflo;longueurInflo;DFInflo;ceci;obs
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;26/7/10 11:25;B2;;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;27/7/10 13:55;B2;;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;28/7/10 10:10;B2;;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;29/7/10 11:45;B2/C;;D;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;30/7/10 10:30;C;;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;1/8/10 11:30;C;;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;2/8/10 13:00;C;;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;3/8/10 12:00;C;2,4;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;4/8/10 12:00;C/D1;2,7;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;5/8/10 11:50;D1;2,8;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;6/8/10 11:50;D1;3,2;FD1;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;7/8/10 16:30;D2;3,4;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;9/8/10 11:40;D2/E;4,5;FD2;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;10/8/10 11:50;E;5,4;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;11/8/10 11:40;E;5,7;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;13/8/10 14:00;E;7,8;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;15/8/10 14:30;E;9;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;16/8/10 11:30;E;9,5;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;17/8/10 10:30;E;10,45;;;
