CodeUC,Days,TTS,Length,Pheno_stage,Date
3-GF-cog-F-B25-1-L2,12,148.775,14.0901600275,1,2010-08-05 00:00:00
3-GF-cog-F-B28-1-A,7,92.09,3.93658361785,0,2010-08-05 00:00:00
3-GF-cog-F-B7-1-A,11,136.95,9.02258247359,1,2010-08-05 00:00:00
3-GF-cog-F-B7-1-L,10,125.325,7.91384312264,1,2010-08-05 00:00:00
3-GF-cog-F-B8-1-L1,11,136.95,8.73608061372,1,2010-08-05 00:00:00
3-GF-cog-F-B8-1-L2,11,136.95,8.19151929611,1,2010-08-05 00:00:00
3-GF-cog-F-C28-1-L,7,92.09,6.8680936086,0,2010-08-05 00:00:00
3-GF-cog-F-A2-1-A,15,184.915,17.9389029627,1,2010-08-06 00:00:00
3-GF-cog-F-A37-1-A,8,102.845,4.91774865333,1,2010-08-06 00:00:00
3-GF-cog-F-A37-1-L,8,102.845,4.04399665558,1,2010-08-06 00:00:00
3-GF-cog-F-B19-1-A,12,147.705,14.6669448074,1,2010-08-06 00:00:00
3-GF-cog-F-B19-1-L,11,136.08,10.5242119327,1,2010-08-06 00:00:00
3-GF-cog-F-B21-1-A,13,159.53,14.1974534053,1,2010-08-06 00:00:00
3-GF-cog-F-B22-1-A,9,114.325,8.01001111131,1,2010-08-06 00:00:00
3-GF-cog-F-B25-1-L1,14,172.47,15.7018740635,1,2010-08-06 00:00:00
3-GF-cog-F-B25-1-L2,13,159.53,15.564039686,1,2010-08-06 00:00:00
3-GF-cog-F-B28-1-A,8,102.845,4.62672623076,1,2010-08-06 00:00:00
3-GF-cog-F-B7-1-A,12,147.705,10.1187535796,1,2010-08-06 00:00:00
3-GF-cog-F-B7-1-L,11,136.08,8.87389243701,1,2010-08-06 00:00:00
3-GF-cog-F-B8-1-L1,12,147.705,9.81773924197,1,2010-08-06 00:00:00
3-GF-cog-F-B8-1-L2,12,147.705,9.13608934869,1,2010-08-06 00:00:00
3-GF-cog-F-C28-1-L,8,102.845,7.90447495102,1,2010-08-06 00:00:00
3-GF-cog-F-A2-1-A,16,196.85,19.1251804395,1,2010-08-07 00:00:00
3-GF-cog-F-A37-1-A,9,114.78,5.80902660456,1,2010-08-07 00:00:00
3-GF-cog-F-A37-1-L,9,114.78,4.79325725552,1,2010-08-07 00:00:00
3-GF-cog-F-B19-1-A,13,159.64,15.9281617107,1,2010-08-07 00:00:00
3-GF-cog-F-B19-1-L,12,148.015,11.5674293909,1,2010-08-07 00:00:00
3-GF-cog-F-B21-1-A,14,171.465,15.4235703851,1,2010-08-07 00:00:00
3-GF-cog-F-B22-1-A,10,126.26,9.04047505579,1,2010-08-07 00:00:00
3-GF-cog-F-B25-1-L1,15,184.405,17.345160534,1,2010-08-07 00:00:00
3-GF-cog-F-B25-1-L2,14,171.465,17.1581884294,1,2010-08-07 00:00:00
3-GF-cog-F-B28-1-A,9,114.78,5.48005314128,1,2010-08-07 00:00:00
3-GF-cog-F-B7-1-A,13,159.64,11.3427405571,1,2010-08-07 00:00:00
3-GF-cog-F-B7-1-L,12,148.015,9.94552285778,1,2010-08-07 00:00:00
3-GF-cog-F-B8-1-L1,13,159.64,11.0308293485,1,2010-08-07 00:00:00
3-GF-cog-F-B8-1-L2,13,159.64,10.1785694305,1,2010-08-07 00:00:00
3-GF-cog-F-C28-1-L,9,114.78,9.12786159651,1,2010-08-07 00:00:00
3-GF-cog-F-A2-1-A,17,208.685,20.1722471116,2,2010-08-08 00:00:00
3-GF-cog-F-A37-1-A,10,126.615,6.77246320654,1,2010-08-08 00:00:00
3-GF-cog-F-A37-1-L,10,126.615,5.60896479102,1,2010-08-08 00:00:00
3-GF-cog-F-B19-1-A,14,171.475,17.0810702514,1,2010-08-08 00:00:00
3-GF-cog-F-B19-1-L,13,159.85,12.5433840296,1,2010-08-08 00:00:00
3-GF-cog-F-B21-1-A,15,183.3,16.5451270312,1,2010-08-08 00:00:00
3-GF-cog-F-B22-1-A,11,138.095,10.0559063789,1,2010-08-08 00:00:00
3-GF-cog-F-B25-1-L1,16,196.24,18.8975354285,1,2010-08-08 00:00:00
3-GF-cog-F-B25-1-L2,15,183.3,18.6582424386,1,2010-08-08 00:00:00
3-GF-cog-F-B28-1-A,10,126.615,6.40767698279,1,2010-08-08 00:00:00
3-GF-cog-F-B7-1-A,14,171.475,12.5326755212,1,2010-08-08 00:00:00
3-GF-cog-F-B7-1-L,13,159.85,10.9869732637,1,2010-08-08 00:00:00
3-GF-cog-F-B8-1-L1,14,171.475,12.2155750344,1,2010-08-08 00:00:00
3-GF-cog-F-B8-1-L2,14,171.475,11.1798937303,1,2010-08-08 00:00:00
3-GF-cog-F-C28-1-L,10,126.615,10.3900956942,1,2010-08-08 00:00:00
3-GF-cog-F-A2-1-A,18,220.375,21.0766009097,2,2010-08-09 00:00:00
3-GF-cog-F-A37-1-A,11,138.305,7.7842943043,1,2010-08-09 00:00:00
3-GF-cog-F-A37-1-L,11,138.305,6.47218972278,1,2010-08-09 00:00:00
3-GF-cog-F-B19-1-A,15,183.165,18.1083207942,1,2010-08-09 00:00:00
3-GF-cog-F-B19-1-L,14,171.54,13.4315363765,1,2010-08-09 00:00:00
3-GF-cog-F-B21-1-A,16,194.99,17.5450337857,1,2010-08-09 00:00:00
3-GF-cog-F-B22-1-A,12,149.785,11.0265699731,1,2010-08-09 00:00:00
3-GF-cog-F-B25-1-L1,17,207.93,20.3230659245,2,2010-08-09 00:00:00
3-GF-cog-F-B25-1-L2,16,194.99,20.0307056494,1,2010-08-09 00:00:00
3-GF-cog-F-B28-1-A,11,138.305,7.38777573266,1,2010-08-09 00:00:00
3-GF-cog-F-B7-1-A,15,183.165,13.6554153833,1,2010-08-09 00:00:00
3-GF-cog-F-B7-1-L,14,171.54,11.969282163,1,2010-08-09 00:00:00
3-GF-cog-F-B8-1-L1,15,183.165,13.3383368969,1,2010-08-09 00:00:00
3-GF-cog-F-B8-1-L2,15,183.165,12.1138795044,1,2010-08-09 00:00:00
3-GF-cog-F-C28-1-L,11,138.305,11.653023364,1,2010-08-09 00:00:00
3-GF-cog-F-A2-1-A,19,232.105,21.8576392383,2,2010-08-10 00:00:00
3-GF-cog-F-A37-1-A,12,150.035,8.83657153265,1,2010-08-10 00:00:00
3-GF-cog-F-A37-1-L,12,150.035,7.37711524126,1,2010-08-10 00:00:00
3-GF-cog-F-B19-1-A,16,194.895,19.0200325671,1,2010-08-10 00:00:00
3-GF-cog-F-B19-1-L,15,183.27,14.2349000248,1,2010-08-10 00:00:00
3-GF-cog-F-B21-1-A,17,206.72,18.4329441157,2,2010-08-10 00:00:00
3-GF-cog-F-B22-1-A,13,161.515,11.9456247438,1,2010-08-10 00:00:00
3-GF-cog-F-B25-1-L1,18,219.66,21.6231623348,2,2010-08-10 00:00:00
3-GF-cog-F-B25-1-L2,17,206.72,21.2782344358,2,2010-08-10 00:00:00
3-GF-cog-F-B28-1-A,12,150.035,8.41350080557,1,2010-08-10 00:00:00
3-GF-cog-F-B7-1-A,16,194.895,14.7054371242,1,2010-08-10 00:00:00
3-GF-cog-F-B7-1-L,15,183.27,12.8876775154,1,2010-08-10 00:00:00
3-GF-cog-F-B8-1-L1,16,194.895,14.3927283351,1,2010-08-10 00:00:00
3-GF-cog-F-B8-1-L2,16,194.895,12.9780448847,1,2010-08-10 00:00:00
3-GF-cog-F-C28-1-L,12,150.035,12.9031043407,1,2010-08-10 00:00:00
3-GF-cog-F-A2-1-A,20,244.605,22.5598819232,2,2010-08-11 00:00:00
3-GF-cog-F-A37-1-A,13,162.535,9.96850112571,1,2010-08-11 00:00:00
3-GF-cog-F-A37-1-L,13,162.535,8.35883101262,1,2010-08-11 00:00:00
3-GF-cog-F-B19-1-A,17,207.395,19.8599491229,2,2010-08-11 00:00:00
3-GF-cog-F-B19-1-L,16,195.77,14.9879199637,1,2010-08-11 00:00:00
3-GF-cog-F-B21-1-A,18,219.22,19.2513223942,2,2010-08-11 00:00:00
3-GF-cog-F-B22-1-A,14,174.015,12.8449393363,1,2010-08-11 00:00:00
3-GF-cog-F-B25-1-L1,19,232.16,22.8510873012,2,2010-08-11 00:00:00
3-GF-cog-F-B25-1-L2,18,219.22,22.452874765,2,2010-08-11 00:00:00
3-GF-cog-F-B28-1-A,13,162.535,9.52428090674,1,2010-08-11 00:00:00
3-GF-cog-F-B7-1-A,17,207.395,15.7208633988,2,2010-08-11 00:00:00
3-GF-cog-F-B7-1-L,16,195.77,13.7755468297,1,2010-08-11 00:00:00
3-GF-cog-F-B8-1-L1,17,207.395,15.4164027849,2,2010-08-11 00:00:00
3-GF-cog-F-B8-1-L2,17,207.395,13.8052972214,2,2010-08-11 00:00:00
3-GF-cog-F-C28-1-L,13,162.535,14.1809664265,1,2010-08-11 00:00:00
3-GF-cog-F-A2-1-A,21,256.55,23.1178782969,2,2010-08-12 00:00:00
3-GF-cog-F-A37-1-A,14,174.48,11.0299757263,1,2010-08-12 00:00:00
3-GF-cog-F-A37-1-L,14,174.48,9.28734918479,1,2010-08-12 00:00:00
3-GF-cog-F-B19-1-A,18,219.34,20.5414321408,2,2010-08-12 00:00:00
3-GF-cog-F-B19-1-L,17,207.715,15.60822455,2,2010-08-12 00:00:00
3-GF-cog-F-B21-1-A,19,231.165,19.91560412,2,2010-08-12 00:00:00
3-GF-cog-F-B22-1-A,15,185.96,13.6149904378,1,2010-08-12 00:00:00
3-GF-cog-F-B25-1-L1,20,244.105,23.8694303632,2,2010-08-12 00:00:00
3-GF-cog-F-B25-1-L2,19,231.165,23.4243606551,2,2010-08-12 00:00:00
3-GF-cog-F-B28-1-A,14,174.48,10.5729727672,1,2010-08-12 00:00:00
3-GF-cog-F-B7-1-A,18,219.34,16.5810275367,2,2010-08-12 00:00:00
3-GF-cog-F-B7-1-L,17,207.715,14.5274523604,2,2010-08-12 00:00:00
3-GF-cog-F-B8-1-L1,18,219.34,16.2866654329,2,2010-08-12 00:00:00
3-GF-cog-F-B8-1-L2,18,219.34,14.4996592446,2,2010-08-12 00:00:00
3-GF-cog-F-C28-1-L,14,174.48,15.3208828207,1,2010-08-12 00:00:00
3-GF-cog-F-A2-1-A,22,266.505,23.5083161674,2,2010-08-13 00:00:00
3-GF-cog-F-A37-1-A,15,184.435,11.8793693319,1,2010-08-13 00:00:00
3-GF-cog-F-A37-1-L,15,184.435,10.0359293503,1,2010-08-13 00:00:00
3-GF-cog-F-B19-1-A,19,229.295,21.0259027275,2,2010-08-13 00:00:00
3-GF-cog-F-B19-1-L,18,217.67,16.0543872073,2,2010-08-13 00:00:00
3-GF-cog-F-B21-1-A,20,241.12,20.3879956795,2,2010-08-13 00:00:00
3-GF-cog-F-B22-1-A,16,195.915,14.1860546926,1,2010-08-13 00:00:00
3-GF-cog-F-B25-1-L1,21,254.06,24.6057383282,2,2010-08-13 00:00:00
3-GF-cog-F-B25-1-L2,20,241.12,24.1252878414,2,2010-08-13 00:00:00
3-GF-cog-F-B28-1-A,15,184.435,11.4170988515,1,2010-08-13 00:00:00
3-GF-cog-F-B7-1-A,19,229.295,17.213452163,2,2010-08-13 00:00:00
3-GF-cog-F-B7-1-L,18,217.67,15.0801610196,2,2010-08-13 00:00:00
3-GF-cog-F-B8-1-L1,19,229.295,16.9283441464,2,2010-08-13 00:00:00
3-GF-cog-F-B8-1-L2,19,229.295,15.0064806022,2,2010-08-13 00:00:00
3-GF-cog-F-C28-1-L,15,184.435,16.1950304792,1,2010-08-13 00:00:00
3-GF-cog-F-A2-1-A,23,279.03,23.9161129355,2,2010-08-14 00:00:00
3-GF-cog-F-A37-1-A,16,196.96,12.8808140069,1,2010-08-14 00:00:00
3-GF-cog-F-A37-1-L,16,196.96,10.9249575155,1,2010-08-14 00:00:00
3-GF-cog-F-B19-1-A,20,241.82,21.5387722141,2,2010-08-14 00:00:00
3-GF-cog-F-B19-1-L,19,230.195,16.5314775292,2,2010-08-14 00:00:00
3-GF-cog-F-B21-1-A,21,253.645,20.8882135051,2,2010-08-14 00:00:00
3-GF-cog-F-B22-1-A,17,208.44,14.8133471394,2,2010-08-14 00:00:00
3-GF-cog-F-B25-1-L1,22,266.585,25.3966784113,2,2010-08-14 00:00:00
3-GF-cog-F-B25-1-L2,21,253.645,24.8768229894,2,2010-08-14 00:00:00
3-GF-cog-F-B28-1-A,16,196.96,12.4180498765,1,2010-08-14 00:00:00
3-GF-cog-F-B7-1-A,20,241.82,17.9028480362,2,2010-08-14 00:00:00
3-GF-cog-F-B7-1-L,19,230.195,15.682543787,2,2010-08-14 00:00:00
3-GF-cog-F-B8-1-L1,20,241.82,17.629601074,2,2010-08-14 00:00:00
3-GF-cog-F-B8-1-L2,20,241.82,15.5554248134,2,2010-08-14 00:00:00
3-GF-cog-F-C28-1-L,16,196.96,17.1849466474,1,2010-08-14 00:00:00
3-GF-cog-F-A2-1-A,24,288.755,24.1775102145,2,2010-08-15 00:00:00
3-GF-cog-F-A37-1-A,17,206.685,13.5951192338,2,2010-08-15 00:00:00
3-GF-cog-F-A37-1-L,17,206.685,11.5633827678,2,2010-08-15 00:00:00
3-GF-cog-F-B19-1-A,21,251.545,21.8712736423,2,2010-08-15 00:00:00
3-GF-cog-F-B19-1-L,20,239.92,16.8434418635,2,2010-08-15 00:00:00
3-GF-cog-F-B21-1-A,22,263.37,21.2125871047,2,2010-08-15 00:00:00
3-GF-cog-F-B22-1-A,18,218.165,15.2331698648,2,2010-08-15 00:00:00
3-GF-cog-F-B25-1-L1,23,276.31,25.9158853216,2,2010-08-15 00:00:00
3-GF-cog-F-B25-1-L2,22,263.37,25.3693769607,2,2010-08-15 00:00:00
3-GF-cog-F-B28-1-A,17,206.685,13.135813198,2,2010-08-15 00:00:00
3-GF-cog-F-B7-1-A,21,251.545,18.3611674179,2,2010-08-15 00:00:00
3-GF-cog-F-B7-1-L,20,239.92,16.0829487661,2,2010-08-15 00:00:00
3-GF-cog-F-B8-1-L1,21,251.545,18.096832982,2,2010-08-15 00:00:00
3-GF-cog-F-B8-1-L2,21,251.545,15.9183478874,2,2010-08-15 00:00:00
3-GF-cog-F-C28-1-L,17,206.685,17.8655600767,2,2010-08-15 00:00:00
3-GF-cog-F-A2-1-A,25,301.175,24.4523116161,2,2010-08-16 00:00:00
3-GF-cog-F-A37-1-A,18,219.105,14.4171909858,2,2010-08-16 00:00:00
3-GF-cog-F-A37-1-L,18,219.105,12.3026066576,2,2010-08-16 00:00:00
3-GF-cog-F-B19-1-A,22,263.965,22.2240375037,2,2010-08-16 00:00:00
3-GF-cog-F-B19-1-L,21,252.34,17.1767319278,2,2010-08-16 00:00:00
3-GF-cog-F-B21-1-A,23,275.79,21.5567918758,2,2010-08-16 00:00:00
