"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","03-11","03-12","04-01","04-02","04-03","04-04"
"03-11","0","1","1",0.000326853202939683,0.0326483605631801,0.817295183471542,0.1392052706196,0.00640098473728334,0.00412334740545439
"03-12","0","1","1",2.40683112377201e-06,0.000248546495926355,0.0398741324470109,0.368889770173251,0.231001110239123,0.359984033813565
"04-02","0","1","1",5.08346794153826e-12,5.25086818308752e-10,8.77604806107977e-08,1.37346677432394e-06,2.29332403882784e-06,0.999996244918536
"03-10","1","1","1",0.574514795996889,0.418434136655919,0.00700842804799695,4.00637712199003e-05,1.57294135727515e-06,1.00258661828168e-06
"03-11","1","1","1",0.000456694315711667,0.04502769035545,0.842603458436832,0.104358328485464,0.00459969406852645,0.00295413433801561
"03-12","1","1","1",3.36336868178109e-06,0.000347290728452273,0.054841109895436,0.436457416139248,0.221364582098949,0.286986237769233
"04-02","1","1","1",7.10377768304212e-12,7.33770737550207e-10,1.22638900998289e-07,1.91931900064539e-06,3.20474733735525e-06,0.999994752553886
"03-05","0","0","0",0,0,0,0,0,0
"03-06","0","0","0",0,0,0,0,0,0
"03-07","0","0","0",0,0,0,0,0,0
"03-08","0","0","0",0,0,0,0,0,0
"03-09","0","0","0",0,0,0,0,0,0
"04-01","0","0","0",0,0,0,0,0,0
"04-03","0","0","0",0,0,0,0,0,0
"04-04","0","0","0",0,0,0,0,0,0
"04-05","0","0","0",0,0,0,0,0,0
"04-06","0","0","0",0,0,0,0,0,0
"04-07","0","0","0",0,0,0,0,0,0
"03-05","1","0","0",0,0,0,0,0,0
"03-06","1","0","0",0,0,0,0,0,0
"03-07","1","0","0",0,0,0,0,0,0
"03-08","1","0","0",0,0,0,0,0,0
"03-09","1","0","0",0,0,0,0,0,0
"04-01","1","0","0",0,0,0,0,0,0
"04-03","1","0","0",0,0,0,0,0,0
"04-04","1","0","0",0,0,0,0,0,0
"04-05","1","0","0",0,0,0,0,0,0
"04-06","1","0","0",0,0,0,0,0,0
"04-07","1","0","0",0,0,0,0,0,0
"03-05","0","1","0",0,0,0,0,0,0
"03-06","0","1","0",0,0,0,0,0,0
"03-07","0","1","0",0,0,0,0,0,0
"03-08","0","1","0",0,0,0,0,0,0
"03-09","0","1","0",0,0,0,0,0,0
"04-01","0","1","0",0,0,0,0,0,0
"04-03","0","1","0",0,0,0,0,0,0
"04-04","0","1","0",0,0,0,0,0,0
"04-05","0","1","0",0,0,0,0,0,0
"04-06","0","1","0",0,0,0,0,0,0
"04-07","0","1","0",0,0,0,0,0,0
"03-05","1","1","0",0,0,0,0,0,0
"03-06","1","1","0",0,0,0,0,0,0
"03-07","1","1","0",0,0,0,0,0,0
"03-08","1","1","0",0,0,0,0,0,0
"03-09","1","1","0",0,0,0,0,0,0
"04-01","1","1","0",0,0,0,0,0,0
"04-03","1","1","0",0,0,0,0,0,0
"04-04","1","1","0",0,0,0,0,0,0
"04-05","1","1","0",0,0,0,0,0,0
"04-06","1","1","0",0,0,0,0,0,0
"04-07","1","1","0",0,0,0,0,0,0
"03-05","0","0","1",0,0,0,0,0,0
"03-06","0","0","1",0,0,0,0,0,0
"03-07","0","0","1",0,0,0,0,0,0
"03-08","0","0","1",0,0,0,0,0,0
"03-09","0","0","1",0,0,0,0,0,0
"04-01","0","0","1",0,0,0,0,0,0
"04-03","0","0","1",0,0,0,0,0,0
"04-04","0","0","1",0,0,0,0,0,0
"04-05","0","0","1",0,0,0,0,0,0
"04-06","0","0","1",0,0,0,0,0,0
"04-07","0","0","1",0,0,0,0,0,0
"03-05","1","0","1",0,0,0,0,0,0
"03-06","1","0","1",0,0,0,0,0,0
"03-07","1","0","1",0,0,0,0,0,0
"03-08","1","0","1",0,0,0,0,0,0
"03-09","1","0","1",0,0,0,0,0,0
"04-01","1","0","1",0,0,0,0,0,0
"04-03","1","0","1",0,0,0,0,0,0
"04-04","1","0","1",0,0,0,0,0,0
"04-05","1","0","1",0,0,0,0,0,0
"04-06","1","0","1",0,0,0,0,0,0
"04-07","1","0","1",0,0,0,0,0,0
"03-05","0","1","1",0,0,0,0,0,0
"03-06","0","1","1",0,0,0,0,0,0
"03-07","0","1","1",0,0,0,0,0,0
"03-08","0","1","1",0,0,0,0,0,0
"03-09","0","1","1",0,0,0,0,0,0
"04-01","0","1","1",0,0,0,0,0,0
"04-03","0","1","1",0,0,0,0,0,0
