"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","2","3","4","5","6","7","8","9","10","11","12"
"2","1","0","1",0.0108600401796631,0.067516996685861,0.0530678006554942,0.22973222147984,0.31680061670116,0.135300385648671,0.11416760606267,0.0421457678891812,0.0183510163720845,0.0098992314137869,0.00215831691158808
"3","1","0","1",0.00485108641303743,0.0315334274700628,0.0265777671743019,0.137693155742175,0.282488354896574,0.176006210313308,0.191047971766663,0.0838257491699927,0.039223235367549,0.0219050069361848,0.00484803475015183
"9","1","0","1",0.00724463782417601,0.0462557285466078,0.037894550581204,0.1817477667821,0.310079906388682,0.16003619613916,0.151436183358936,0.0602458927199362,0.0270279511147172,0.0147874781486151,0.00324370839586641
"11","1","0","1",0.0417858719536951,0.210704820005298,0.122934712663728,0.316465384671049,0.201297165691531,0.0521661443656205,0.0353301818276115,0.0114814555510242,0.00477087746230931,0.0025191038800928,0.000544281928039569
"2","0","1","1",0.0131856417748253,0.0806043573815268,0.0617425138707137,0.25207452348369,0.31167152771526,0.122009714738037,0.0983131824566689,0.0352759136469951,0.0151937139998303,0.00815476125671533,0.00177414967573808
"3","0","1","1",0.0058975848029457,0.0380356474742507,0.0316593096030305,0.158416515984027,0.298181850937571,0.169612640257937,0.171727519238267,0.0716115449771163,0.0327693188320939,0.0181010408043114,0.00398702708844878
"9","0","1","1",0.00880291646983779,0.0555600201476469,0.0447019794803866,0.204750111410389,0.316229771603403,0.148872500797898,0.132898809588837,0.0508593746780325,0.0224606851951754,0.0121969661932145,0.00266686443517894
"11","0","1","1",0.0503966055344797,0.240923760857451,0.131155332645259,0.309636630667476,0.178417282656395,0.0441265843549947,0.0294174215250441,0.0094800428115126,0.0039278105098306,0.00207125414504139,0.000447274292515565
"2","1","1","1",0.0107052990590404,0.0666301850276361,0.0524619023062458,0.228039150331102,0.316965642442622,0.13626278657455,0.115398409250719,0.0426973939661788,0.0186076370042214,0.0100418059955459,0.00218978804213787
"3","1","1","1",0.00478155099789413,0.0310977241744392,0.0262324944395929,0.136226856687126,0.28118334065885,0.176361111972337,0.192457786413188,0.0847832018057392,0.039742547967062,0.022214852660807,0.00491853222296501
"9","1","1","1",0.0071410394687063,0.0456294315347409,0.0374268291292045,0.180074607908503,0.309420064785472,0.160788645643097,0.15283965886302,0.0609922045555776,0.0273976551908831,0.0149989091400377,0.00329095378075928
