"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","04-10","04-11","04-12","05-01","05-02","05-03"
"04-11","0","0","1",0.000766458239925111,0.0724452582222036,0.0202072257987143,0.0839684688763006,0.294085295770719,0.528527293092137
"04-12","0","0","1",0.000422028955844245,0.0412475771954055,0.0120054692350413,0.0524260332623435,0.223214042615218,0.670684848736147
"05-01","0","0","1",8.84697983968638e-05,0.00894121657661958,0.00271681765255282,0.0125234574394885,0.0690267422508328,0.906703296282109
"05-02","0","0","1",4.82086163091734e-10,4.91660793054973e-08,1.51155043370706e-08,7.07648072419402e-08,4.25121833742013e-07,0.999999439349689
"04-08","1","0","1",0.00274265569587529,0.217975146687991,0.0490689257458389,0.166248724473953,0.325778118462961,0.238186428933381
"04-09","1","0","1",0.0011635910469702,0.105957972179784,0.0282001186474714,0.111382928734251,0.328630009370885,0.424665380020638
"04-10","1","0","1",0.00131547797728325,0.118134931483401,0.0308992091608457,0.119886583245259,0.334799359685259,0.394964438447952
"04-11","1","0","1",0.00118359519522773,0.107581216566808,0.0285661739461362,0.112558822349647,0.329608918629025,0.420501273313157
"04-12","1","0","1",0.000651836123897549,0.0622937086206636,0.0176199733931487,0.0743900240771866,0.276396994336843,0.56864746344826
"05-01","1","0","1",0.000136669037422267,0.0137448550388263,0.00415005770745842,0.0189733417642863,0.100155057935003,0.862840018517004
"05-02","1","0","1",7.44767470281089e-10,7.59559147737596e-08,2.33517078276919e-08,1.09323446245623e-07,6.56763908396442e-07,0.999999133860255
"04-08","0","1","1",0.00111742168782311,0.102188564655821,0.0273426310585442,0.108600805314318,0.326152964678035,0.434597612605459
"04-09","0","1","1",0.0004736296398811,0.0460560799638999,0.0133182722795133,0.0577063272113334,0.237732359088237,0.644713331817136
"04-10","0","1","1",0.000535502181974301,0.0517578360573024,0.0148518275500017,0.0637626737429792,0.252989226883689,0.616102933584053
"04-11","0","1","1",0.000481777876194995,0.0468109305331627,0.0135227367286737,0.0585207614703177,0.239869069974488,0.640794723417163
"04-12","0","1","1",0.000265243656812646,0.0263316850174099,0.00781881842722004,0.0349946251858765,0.166385931813417,0.764203695899264
"05-01","0","1","1",5.55960527717889e-05,0.00563774255213017,0.00172050006907768,0.00797615005499253,0.045343021535964,0.939266989735064
"05-02","0","1","1",3.02941875309457e-10,3.08958557235756e-08,9.49854979163385e-09,4.44684511707239e-08,2.6714568619279e-07,0.999999647688515
"04-08","1","1","1",0.0017252370758507,0.149365701960263,0.0373325252312891,0.138562323353365,0.340773115262996,0.332241097116237
"04-09","1","1","1",0.000731514333879419,0.0693741054258442,0.0194327360714122,0.0811371152908958,0.289178236727977,0.540146292149992
"04-10","1","1","1",0.000827047731693306,0.0777219608562641,0.0215213121911993,0.0887021062715886,0.301706124305978,0.509521448643277
"04-11","1","1","1",0.000744095867728009,0.070482242933304,0.0197130101476691,0.0821652798069796,0.290990791195612,0.535904580048707
"04-12","1","1","1",0.000409711615875763,0.0400925043902939,0.0116874479735996,0.0511335966769673,0.219480421999608,0.677196317343655
"05-01","1","1","1",8.58868817765078e-05,0.00868246274787611,0.00263909278813265,0.0121705936422893,0.0672419938558152,0.90917997008411
"05-02","1","1","1",4.68010225996726e-10,4.77305296898068e-08,1.46741623510014e-08,6.86986189579331e-08,4.12709147782306e-07,0.999999455719531
"04-05","0","0","0",0,0,0,0,0,0
"04-06","0","0","0",0,0,0,0,0,0
"04-07","0","0","0",0,0,0,0,0,0
"05-03","0","0","0",0,0,0,0,0,0
"05-04","0","0","0",0,0,0,0,0,0
"05-05","0","0","0",0,0,0,0,0,0
"05-06","0","0","0",0,0,0,0,0,0
"05-07","0","0","0",0,0,0,0,0,0
"04-05","1","0","0",0,0,0,0,0,0
"04-06","1","0","0",0,0,0,0,0,0
"04-07","1","0","0",0,0,0,0,0,0
"05-03","1","0","0",0,0,0,0,0,0
"05-04","1","0","0",0,0,0,0,0,0
"05-05","1","0","0",0,0,0,0,0,0
"05-06","1","0","0",0,0,0,0,0,0
"05-07","1","0","0",0,0,0,0,0,0
"04-05","0","1","0",0,0,0,0,0,0
"04-06","0","1","0",0,0,0,0,0,0
"04-07","0","1","0",0,0,0,0,0,0
"05-03","0","1","0",0,0,0,0,0,0
"05-04","0","1","0",0,0,0,0,0,0
"05-05","0","1","0",0,0,0,0,0,0
"05-06","0","1","0",0,0,0,0,0,0
"05-07","0","1","0",0,0,0,0,0,0
"04-05","1","1","0",0,0,0,0,0,0
"04-06","1","1","0",0,0,0,0,0,0
"04-07","1","1","0",0,0,0,0,0,0
"05-03","1","1","0",0,0,0,0,0,0
"05-04","1","1","0",0,0,0,0,0,0
"05-05","1","1","0",0,0,0,0,0,0
"05-06","1","1","0",0,0,0,0,0,0
"05-07","1","1","0",0,0,0,0,0,0
"04-05","0","0","1",0,0,0,0,0,0
"04-06","0","0","1",0,0,0,0,0,0
"04-07","0","0","1",0,0,0,0,0,0
"05-03","0","0","1",0,0,0,0,0,0
"05-04","0","0","1",0,0,0,0,0,0
"05-05","0","0","1",0,0,0,0,0,0
"05-06","0","0","1",0,0,0,0,0,0
"05-07","0","0","1",0,0,0,0,0,0
"04-05","1","0","1",0,0,0,0,0,0
"04-06","1","0","1",0,0,0,0,0,0
"04-07","1","0","1",0,0,0,0,0,0
"05-03","1","0","1",0,0,0,0,0,0
"05-04","1","0","1",0,0,0,0,0,0
"05-05","1","0","1",0,0,0,0,0,0
"05-06","1","0","1",0,0,0,0,0,0
"05-07","1","0","1",0,0,0,0,0,0
"04-05","0","1","1",0,0,0,0,0,0
"04-06","0","1","1",0,0,0,0,0,0
"04-07","0","1","1",0,0,0,0,0,0
"05-03","0","1","1",0,0,0,0,0,0
"05-04","0","1","1",0,0,0,0,0,0
"05-05","0","1","1",0,0,0,0,0,0
"05-06","0","1","1",0,0,0,0,0,0
"05-07","0","1","1",0,0,0,0,0,0
"04-05","1","1","1",0,0,0,0,0,0
"04-06","1","1","1",0,0,0,0,0,0
"04-07","1","1","1",0,0,0,0,0,0
"05-03","1","1","1",0,0,0,0,0,0
"05-04","1","1","1",0,0,0,0,0,0
"05-05","1","1","1",0,0,0,0,0,0
"05-06","1","1","1",0,0,0,0,0,0
"05-07","1","1","1",0,0,0,0,0,0
