"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","4","5","11","12"
"12","0","1","0",0.0431526293177296,0.713859216154516,0.0625925741608732,0.131847993942086,0.0228537302036901,0.0205093472128098,0.00518450900829548
"1","1","1","0",0.00147870284673113,0.0913274268446764,0.0370151377924639,0.261737552133735,0.163038609981957,0.308430787823125,0.136971782577312
"2","1","1","0",0.001089221476391,0.0689598685541376,0.0289289143118316,0.222528628285635,0.156799980040784,0.344368883194079,0.177324504137141
"9","1","1","0",6.13098027616066e-05,0.0041563731849056,0.00192129404563359,0.019814239871348,0.0230728137365298,0.157871821955806,0.793102147403016
"10","1","1","0",4.44284653743972e-05,0.00301543934268444,0.00139623115580941,0.0144860847223956,0.0170703399463538,0.122972017446967,0.841015458920416
"11","1","1","0",0.737597050970825,0.257279460835,0.0016046053341322,0.00270090919923649,0.000395047772684842,0.000339318834803759,8.36070533178912e-05
"12","1","1","0",0.0409491257776267,0.705857561272317,0.0645663476082011,0.137488798537947,0.0240385087800326,0.0216251810531297,0.00547447697074555
"1","0","0","1",0.0057717754588246,0.280467377655364,0.0827823652776488,0.347111198064606,0.113833402475654,0.131123090826772,0.0389107902411305
"2","0","0","1",0.00425634484586416,0.223713134157708,0.07303717888169,0.349045085369987,0.132278024872619,0.165551439645758,0.0521187922263731
"9","0","0","1",0.000240298984711597,0.0160923838535401,0.00730905079865985,0.0709307572751801,0.0735472409787043,0.337479126626778,0.494401141482426
"10","0","0","1",0.000174142483876885,0.0117146885943669,0.00535524164551072,0.05311956843478,0.0573766083202131,0.297895491398508,0.574364259122745
"11","0","0","1",0.916799814598916,0.0818882071355472,0.000411973248119923,0.0006912176305085,0.000100867532928928,8.6590868280001e-05,2.13289856993981e-05
"12","0","0","1",0.143380674608202,0.777018007360944,0.0236174549310832,0.0424222183066046,0.00650625980595754,0.00565316054927423,0.00140222443793492
"1","1","0","1",0.00546614696422426,0.269726718655647,0.0811827741526521,0.348504370310871,0.117224903122015,0.136885787259065,0.0410092995355263
"2","1","0","1",0.00403063649335677,0.214452917818959,0.0711381668901096,0.347883764150137,0.135363407481864,0.172242162703012,0.0548889444625624
"9","1","0","1",0.000227507588137546,0.0152490280431429,0.00693464481643154,0.0675790928911155,0.0706158366526709,0.331315405684169,0.508078484324333
"10","1","0","1",0.000164872094623071,0.0110980880183619,0.00507798465804783,0.0505268177851515,0.0548993523495086,0.290550421925291,0.587682463169016
"11","1","0","1",0.912530108839851,0.0860842326787301,0.000435087492352659,0.000730044498832516,0.000106538179071025,9.1459862426313e-05,2.25284487359589e-05
"12","1","0","1",0.136790886036412,0.779505916600909,0.0247565259899598,0.0446332692570119,0.00686419518809323,0.00596824159769116,0.0014809653299227
"1","0","1","1",0.00489184730386455,0.24861139202967,0.0777081589797726,0.349939152816946,0.124045602777382,0.149174508761717,0.0456293373306478
"2","0","1","1",0.00360661151480757,0.196423414727805,0.0671841029635865,0.34413155801574,0.141342433594215,0.186338658070254,0.0609732211135913
"9","0","1","1",0.000203491931091361,0.0136616671991256,0.00622736289004458,0.0611685469417749,0.064865915839257,0.317960460532037,0.535912554666669
"10","0","1","1",0.000147467252925759,0.00993832858623142,0.00455511080269017,0.0455921153854472,0.0500961923056202,0.275240309430058,0.614430476237027
"11","0","1","1",0.903204211370288,0.0952468140228313,0.000486313093995605,0.000816109481262206,0.000119109731572253,0.000102254556751835,2.518774329896e-05
"12","0","1","1",0.124141244775197,0.783190476429418,0.0272186918386158,0.0494735585370822,0.0076548000748855,0.00666573248006042,0.00165549586474156
"1","1","1","1",0.00463259587946977,0.238657062706052,0.0759160807124152,0.349946040999792,0.12731880537753,0.155457351390284,0.0480720629344576
