"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"1","2","0","1","1",0.301525368240129
"0","8","0","1","1",0.801209728944674
"1","8","0","1","1",0.603721199981387
"0","9","0","1","1",0.782538188303499
"1","9","0","1","1",0.576309491814603
"0","10","0","1","1",0.68390846306264
"1","10","0","1","1",0.449897299196238
"0","11","0","1","1",0.887622843988123
"1","11","0","1","1",0.749098181100803
"0","12","0","1","1",0.693789320671052
"1","12","0","1","1",0.461331641301646
"0","1","1","1","1",0.858843435466302
"1","1","1","1","1",0.696954904858912
"0","2","1","1","1",0.201656765445724
"1","2","1","1","1",0.087157268030618
"0","8","1","1","1",0.471298500490393
"1","8","1","1","1",0.252030848475497
"0","9","1","1","1",0.443175249191096
"1","9","1","1","1",0.231268360405245
"0","10","1","1","1",0.32365777246648
"1","10","1","1","1",0.153177932446115
"0","11","1","1","1",0.635962220987408
"1","11","1","1","1",0.397714689232012
"0","12","1","1","1",0.333830723866933
"1","12","1","1","1",0.159254204872872
"0","3","0","0","0",0
"1","3","0","0","0",0
"0","4","0","0","0",0
"1","4","0","0","0",0
"0","5","0","0","0",0
"1","5","0","0","0",0
"0","6","0","0","0",0
"1","6","0","0","0",0
"0","7","0","0","0",0
"1","7","0","0","0",0
"0","3","1","0","0",0
"1","3","1","0","0",0
"0","4","1","0","0",0
"1","4","1","0","0",0
"0","5","1","0","0",0
"1","5","1","0","0",0
"0","6","1","0","0",0
"1","6","1","0","0",0
"0","7","1","0","0",0
"1","7","1","0","0",0
"0","3","0","1","0",0
"1","3","0","1","0",0
"0","4","0","1","0",0
"1","4","0","1","0",0
"0","5","0","1","0",0
"1","5","0","1","0",0
"0","6","0","1","0",0
"1","6","0","1","0",0
"0","7","0","1","0",0
"1","7","0","1","0",0
"0","3","1","1","0",0
"1","3","1","1","0",0
"0","4","1","1","0",0
"1","4","1","1","0",0
"0","5","1","1","0",0
"1","5","1","1","0",0
"0","6","1","1","0",0
"1","6","1","1","0",0
"0","7","1","1","0",0
"1","7","1","1","0",0
"0","3","0","0","1",0
"1","3","0","0","1",0
"0","4","0","0","1",0
"1","4","0","0","1",0
"0","5","0","0","1",0
"1","5","0","0","1",0
"0","6","0","0","1",0
"1","6","0","0","1",0
"0","7","0","0","1",0
"1","7","0","0","1",0
"0","3","1","0","1",0
"1","3","1","0","1",0
"0","4","1","0","1",0
"1","4","1","0","1",0
"0","5","1","0","1",0
"1","5","1","0","1",0
"0","6","1","0","1",0
"1","6","1","0","1",0
"0","7","1","0","1",0
"1","7","1","0","1",0
"0","3","0","1","1",0
"1","3","0","1","1",0
"0","4","0","1","1",0
"1","4","0","1","1",0
"0","5","0","1","1",0
"1","5","0","1","1",0
"0","6","0","1","1",0
"1","6","0","1","1",0
"0","7","0","1","1",0
"1","7","0","1","1",0
"0","3","1","1","1",0
"1","3","1","1","1",0
"0","4","1","1","1",0
"1","4","1","1","1",0
"0","5","1","1","1",0
"1","5","1","1","1",0
"0","6","1","1","1",0
"1","6","1","1","1",0
"0","7","1","1","1",0
"1","7","1","1","1",0
