a;nUC;nFprox;nFdist;nF1;nFplus;TMUC;TMFprox;TMFdist;TMF1;TMFplus;vari;ver;sai;arbre;pos;nbApUCm;nbLatUCm;vigArbre;or;haut;posUCm;nbF;longHypo;longUCF;surFproxF;surFdistF;surF1F;surFplusF;surFtot;volUC;a;A0;X00;B0;Error0;ER0
1-GF-jose-V-C11-2-A;15;12;12;12;NA;28.16733333;28.19708333;28.19708333;28.19708333;NA;jose;GF;1;C11;A;1;1; 1/2;sud-ouest;2.5;A;16;0.45;12.8;61.86566496;33.70497878;22.09076584;NA;738.8705939;9457.543602;1-GF-jose-V-C11-2-A;12.95709042;187.0334156;56.83705069;0;0.056992271
1-GF-jose-V-D15-1-L;14;14;12;13;NA;28.16285714;28.16285714;28.19708333;28.15923077;NA;jose;GF;1;D15;L;0;2;1;nord-ouest;1.3;A;10;1.35;6.8;43.69190584;23.89086084;14.6527733;NA;318.7752234;2167.671519;1-GF-jose-V-D15-1-L;6.813035502;158.0397773;52.14623511;0;0.032663123
1-GF-jose-V-E12-1-L;14;14;14;13;NA;28.18857143;28.18857143;28.18857143;28.22576923;NA;jose;GF;1;E12;L;0;3;3;sud;1.6;A;11;4.95;13.6;16.3808645;14.73197748;17.1729063;NA;172.7371162;2349.22478;1-GF-jose-V-E12-1-L;13.59221271;160.1413867;39.30702221;0;0.086449011
1-GF-jose-V-E4-1-A;14;13;14;13;NA;28.18857143;28.22576923;28.18857143;28.22576923;NA;jose;GF;1;E4;A;1;7; 1/2;nord;2.5;A;17;4;26;50.46746342;31.9696872;18.360969;NA;677.858174;17624.31252;1-GF-jose-V-E4-1-A;26.02994523;184.0505431;42.60251146;0;0.152748889
1-GF-jose-V-E4-1-L;16;14;13;13;NA;28.1925;28.18857143;28.22576923;28.22576923;NA;jose;GF;1;E4;L;1;7; 1/2;nord;2.5;A;12;7.5;24;43.24548228;14.40076;14.5447676;NA;331.5991001;7958.378403;1-GF-jose-V-E4-1-L;24.03026148;177.3867518;39.78174158;0;0.151013131
1-GF-jose-V-F8-1-A;16;9;10;14;NA;28.17;28.22722222;28.2675;28.20035714;NA;jose;GF;1;F8;A;1;2;3;est;1.7;A;16;0.55;13.5;30.90403096;31.02643742;15.52401928;NA;480.0025321;6480.034184;1-GF-jose-V-F8-1-A;13.55697004;152.4955693;44.99533769;0;0.075324304
1-GF-jose-V-F8-1-L;10;14;10;14;NA;28.2675;28.20035714;28.2675;28.20035714;NA;jose;GF;1;F8;L;1;2;3;est;1.7;A;7;6.75;15.2;23.85125875;24.3012825;29.79877263;NA;174.2563964;2648.697225;1-GF-jose-V-F8-1-L;15.32038244;152.3717171;38.32207768;0;0.099944884
1-GF-jose-V-H14-1-A;16;13;13;14;NA;28.1925;28.22576923;28.22576923;28.18857143;NA;jose;GF;1;H14;A;1;0;1;ouest;1.7;A;14;2.5;9.1;68.56921874;28.80512019;25.91416762;NA;658.8473707;5995.511073;1-GF-jose-V-H14-1-A;9.085517251;182.9155133;52.90772425;0;0.042930958
1-GF-jose-V-H14-2-A;12;12;13;13;NA;28.19708333;28.19708333;28.15923077;28.15923077;NA;jose;GF;1;H14;A;1;0;1;nord-ouest;2;L;11;0.9;4.4;46.92847665;19.9810545;14.89038584;NA;349.4380416;1537.527383;1-GF-jose-V-H14-2-A;4.443889975;157.3576594;49.72529624;0;0.0223422
1-GH-jose-V-B26-1-A;13;12;11;12;NA;25.12807692;25.07708333;25.01772727;25.07708333;NA;jose;GH;1;B26;A;1;1;1;est;1.5;L;20;0.8;22.5;35.94429696;25.56494919;14.70677615;NA;599.0446146;13478.50383;1-GH-jose-V-B26-1-A;23.09566632;159.6342317;58.4961959;0;0.098705847
1-GH-jose-V-C24-1-A;14;12;13;13;NA;25.19321429;25.07708333;25.12807692;25.12807692;NA;jose;GH;1;C24;A;1;4;3;nord;1.5;L;19;0.4;29.3;57.86225368;20.04585792;11.79422244;NA;712.9672268;20889.93975;1-GH-jose-V-C24-1-A;29.71244254;161.4456993;49.84883188;0;0.149012732
1-GH-jose-V-C24-1-L;12;13;13;12;NA;25.07708333;25.12807692;25.12807692;25.07708333;NA;jose;GH;1;C24;L;1;4;3;nord;1.5;L;8;10.5;21.5;28.21648913;17.72013518;19.8730488;NA;180.6512339;3884.001528;1-GH-jose-V-C24-1-L;21.78599991;147.7092311;47.31681036;0;0.115107082
1-GH-jose-V-D20-1-A;12;12;13;15;NA;25.07708333;25.07708333;25.12807692;25.155;NA;jose;GH;1;D20;A;1;0;3;nord;1.5;L;20;0.5;18.1;41.73340248;19.45902695;17.640931;NA;598.9690106;10841.33909;1-GH-jose-V-D20-1-A;18.75924401;186.89009;51.43311221;0;0.091182719
1-GH-jose-V-E23-1-A;13;12;14;11;NA;25.12807692;25.07708333;25.19321429;25.01772727;NA;jose;GH;1;E23;A;1;4;3;nord;1.5;L;19;1.1;23.6;56.17196448;18.6129823;13.81752922;NA;686.8820502;16210.41638;1-GH-jose-V-E23-1-A;23.77217529;133.973802;46.66684393;0;0.127350455
1-GH-jose-V-E23-1-L;12;11;11;NA;NA;25.07708333;25.01772727;25.01772727;NA;NA;jose;GH;1;E23;L;1;4;3;nord;1.5;L;10;6.5;21;31.19204616;13.90033359;NA;NA;NA;NA;1-GH-jose-V-E23-1-L;20.9077232;124.331572;36.94995433;0;0.141459736
