a;nInflo;TMInflo;var;ver;pos;longF;diamInflo;longAxeII;diamUCM;arbre;nbApUCm;nbLatUCm;vigArbre;or;haut;posUCm;posUCGM;a;A0;X00;B0;Error0;ER0
3-GH-jose-F-I31-2-A;23;21.29195652;jose;GH;A;13.2;0.48;2.5;0.66;I31;1;0;2;nord-est;1.6;L;L;3-GH-jose-F-I31-2-A;13.69573431;114.031594;34.28943961;0;0.09985388
3-GH-jose-F-I31-3-L;36;21.56708333;jose;GH;L;11.8;0.61;4;1.145;I31;0;1;2;est;1.5;A;L;3-GH-jose-F-I31-3-L;12.10971194;163.5564785;58.69146652;0;0.051582081
3-GH-jose-F-J16-1-A;46;19.59847826;jose;GH;A;31.6;0.84;10.9;0.9;J16;1;1;3;milieu;1.5;L;L;3-GH-jose-F-J16-1-A;31.47326189;170.2551526;39.45264394;0;0.199436963
3-GH-jose-F-J16-1-L;43;19.51988372;jose;GH;L;25.2;0.64;8;0.9;J16;1;1;3;milieu;1.5;L;L;3-GH-jose-F-J16-1-L;25.3095245;157.3286226;39.01947357;0;0.162159572
3-GH-jose-F-J18-1-A;35;19.33385714;jose;GH;A;21.6;0.68;10;0.93;J18;1;0;3;nord-est;1.3;L;L;3-GH-jose-F-J18-1-A;21.97371042;132.3243463;34.16010915;0;0.160814112
3-GH-jose-F-J2-1-A;21;20.78595238;jose;GH;A;17.3;0.58;5;0.73;J2;1;1;3;nord-ouest;1.3;L;A;3-GH-jose-F-J2-1-A;18.27822045;103.8000551;36.33062969;0;0.125776931
3-GH-jose-F-J2-1-L;21;21.05714286;jose;GH;L;11.25;0.52;NA;0.73;J2;1;1;3;nord-ouest;1.3;L;A;3-GH-jose-F-J2-1-L;11.89379878;98.46195409;33.63366853;0;0.088406939
3-GH-jose-F-L2-1-A;21;20.95880952;jose;GH;A;13.4;0.57;4.5;0.685;L2;1;0;3;sud;1.45;L;L;3-GH-jose-F-L2-1-A;13.96349196;106.551498;30.92679786;0;0.112875345
3-GH-jose-F-L9-1-A;44;19.55534091;jose;GH;A;19.25;0.7;6.7;0.885;L9;1;0;3;ouest;1.7;A;L;3-GH-jose-F-L9-1-A;19.30530681;134.4274306;42.7591966;0;0.112872249
3-GH-jose-F-L9-2-L;27;19.30574074;jose;GH;L;15.3;0.6;6.5;1.35;L9;0;5;3;nord;1.9;A;L;3-GH-jose-F-L9-2-L;15.78930048;97.08029117;30.80606297;0;0.128134683
