"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","11","12"
"10","1","1","1",0.0654835258241895,0.349588915540121,0.411642244822976,0.166066647169289,0.00721866664342441
"11","1","1","1",0.552181561477445,0.373672734359339,0.0623742889103447,0.0113583780879282,0.000413037164942898
"12","1","1","1",0.230638715564389,0.521581274895664,0.201073650750221,0.0450096430278617,0.00169671576186425
"3","0","0","0",0.2,0.2,0.2,0.2,0.2
"4","0","0","0",0.2,0.2,0.2,0.2,0.2
"5","0","0","0",0.2,0.2,0.2,0.2,0.2
"6","0","0","0",0.2,0.2,0.2,0.2,0.2
"7","0","0","0",0.2,0.2,0.2,0.2,0.2
"3","1","0","0",0.2,0.2,0.2,0.2,0.2
"4","1","0","0",0.2,0.2,0.2,0.2,0.2
"5","1","0","0",0.2,0.2,0.2,0.2,0.2
"6","1","0","0",0.2,0.2,0.2,0.2,0.2
"7","1","0","0",0.2,0.2,0.2,0.2,0.2
"3","0","1","0",0.2,0.2,0.2,0.2,0.2
"4","0","1","0",0.2,0.2,0.2,0.2,0.2
"5","0","1","0",0.2,0.2,0.2,0.2,0.2
"6","0","1","0",0.2,0.2,0.2,0.2,0.2
"7","0","1","0",0.2,0.2,0.2,0.2,0.2
"3","1","1","0",0.2,0.2,0.2,0.2,0.2
"4","1","1","0",0.2,0.2,0.2,0.2,0.2
"5","1","1","0",0.2,0.2,0.2,0.2,0.2
"6","1","1","0",0.2,0.2,0.2,0.2,0.2
"7","1","1","0",0.2,0.2,0.2,0.2,0.2
"3","0","0","1",0.2,0.2,0.2,0.2,0.2
"4","0","0","1",0.2,0.2,0.2,0.2,0.2
"5","0","0","1",0.2,0.2,0.2,0.2,0.2
"6","0","0","1",0.2,0.2,0.2,0.2,0.2
"7","0","0","1",0.2,0.2,0.2,0.2,0.2
"3","1","0","1",0.2,0.2,0.2,0.2,0.2
"4","1","0","1",0.2,0.2,0.2,0.2,0.2
"5","1","0","1",0.2,0.2,0.2,0.2,0.2
"6","1","0","1",0.2,0.2,0.2,0.2,0.2
"7","1","0","1",0.2,0.2,0.2,0.2,0.2
"3","0","1","1",0.2,0.2,0.2,0.2,0.2
"4","0","1","1",0.2,0.2,0.2,0.2,0.2
"5","0","1","1",0.2,0.2,0.2,0.2,0.2
"6","0","1","1",0.2,0.2,0.2,0.2,0.2
"7","0","1","1",0.2,0.2,0.2,0.2,0.2
"3","1","1","1",0.2,0.2,0.2,0.2,0.2
"4","1","1","1",0.2,0.2,0.2,0.2,0.2
"5","1","1","1",0.2,0.2,0.2,0.2,0.2
"6","1","1","1",0.2,0.2,0.2,0.2,0.2
"7","1","1","1",0.2,0.2,0.2,0.2,0.2
