"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","4","5","12"
"2","0","0","1",0.659132356252899,0.319036457175506,0.00207455915873744,0.0166544683747343,0.00276715820561368,0.000335000832509147
"10","0","0","1",0.00692089238022249,0.132111137650463,0.012660973931627,0.384954721884963,0.378280224420106,0.0850720497326189
"12","0","0","1",0.994626020539641,0.00514085635942529,2.25947967130713e-05,0.000178017903505467,2.90092329814362e-05,3.50116773373266e-06
"1","1","0","1",0.505334040573925,0.454132498607496,0.00378501821571053,0.0308926844918236,0.00522183537703658,0.000633922734009085
"2","1","0","1",0.526269565955533,0.436334771962504,0.00350236083712918,0.028505925654106,0.00480440314604669,0.000582972444680419
"10","1","0","1",0.00398779685769953,0.0809084197897226,0.00826452412951223,0.30637480002854,0.461161540669678,0.139302918524848
"12","1","0","1",0.990682900449357,0.00891138534405134,3.93165706240595e-05,0.000309809974232134,5.04933919692752e-05,6.09426976605487e-06
"1","0","1","1",0.635992254910794,0.339902466878541,0.00228583955858919,0.0183872912821579,0.00306140176840297,0.000370745601514955
"2","0","1","1",0.655171395177258,0.32261881625914,0.00210979740387929,0.0169429853981073,0.00281606532278633,0.000340940438829151
"10","0","1","1",0.00680110171312126,0.130139803019827,0.0125035993678937,0.382828947853827,0.381276086876083,0.0864504611692476
"12","0","1","1",0.994531227970326,0.00523151519853837,2.29953609481859e-05,0.00018117447852406,2.95237268403969e-05,3.56326482298108e-06
"1","1","1","1",0.500939061703386,0.457838204453589,0.0038468752891675,0.0314168606093418,0.00531383910222627,0.000645158842288662
"2","1","1","1",0.521884605905612,0.440081702222643,0.00355997667811037,0.0289913120393654,0.00488909714520458,0.000593306009064487
"10","1","1","1",0.00391857352133845,0.0796217471954672,0.00814575441175071,0.303639274286717,0.463250448501996,0.141424202082731
"12","1","1","1",0.990519217474348,0.00906787547370314,4.00133480891185e-05,0.000315302451478594,5.13888942751395e-05,6.20235810588898e-06
"3","0","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"4","0","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"5","0","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"6","0","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"7","0","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"8","0","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"9","0","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"11","0","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"3","1","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"4","1","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"5","1","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"6","1","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"7","1","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"8","1","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"9","1","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"11","1","0","0",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
