"Flowering_Week","Nb_Inflorescences","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"4","2","1","0","1",0.316391101109732,0
"5-6","2","1","0","1",0.430851948942529,0
"7-8-9","2","1","0","1",0.240508208575218,0
"10","2","1","0","1",0.154683763279377,0
"11-12","2","1","0","1",2.75515750244498e-07,0
"1-2-3","3","1","0","1",0.383152377461498,0
"4","3","1","0","1",0.262385188606019,0
"5-6","3","1","0","1",0.367820725765393,0
"7-8-9","3","1","0","1",0.195746104097561,0
"10","3","1","0","1",0.123301638564004,0
"11-12","3","1","0","1",2.11757886287694e-07,0
"1-2-3","4","1","0","1",3.26976474292414e-07,0
"4","4","1","0","1",1.87254655935503e-07,0
"5-6","4","1","0","1",3.06280134797484e-07,0
"7-8-9","4","1","0","1",1.28121766302759e-07,0
"10","4","1","0","1",7.40357772569969e-08,0
"11-12","4","1","0","1",1.11471207193482e-13,0
"1-2-3","5","1","0","1",0.848981802451348,0
"4","5","1","0","1",0.763003732628168,0
"5-6","5","1","0","1",0.840405638160034,0
"7-8-9","5","1","0","1",0.687773374177221,0
"10","5","1","0","1",0.560033344466943,0
"11-12","5","1","0","1",1.91652426568293e-06,0
"1-2-3","6","1","0","1",3.20975242880911e-07,0
"4","6","1","0","1",1.83817837798315e-07,0
"5-6","6","1","0","1",3.00658757886542e-07,0
"7-8-9","6","1","0","1",1.25770256090325e-07,0
"10","6","1","0","1",7.26769457284241e-08,0
"11-12","6","1","0","1",1.09425296317917e-13,0
"1-2-3","1","0","1","1",0.319766731768723,8
"4","1","0","1","1",0.212108426907648,19
"5-6","1","0","1","1",0.305714393151808,164
"7-8-9","1","0","1","1",0.155545662505775,90
"10","1","0","1","1",0.0961995392603963,4
"11-12","1","0","1","1",1.60258619067759e-07,3
"1-2-3","2","0","1","1",0.454925859395549,0
"4","2","0","1","1",0.323396513934401,1
"5-6","2","0","1","1",0.438765073356916,1
"7-8-9","2","0","1","1",0.246439147805191,1
"10","2","0","1","1",0.158941181751265,0
"11-12","2","0","1","1",2.84531908986431e-07,0
"1-2-3","3","0","1","1",0.390790965735854,0
"4","3","0","1","1",0.268664775143778,0
"5-6","3","0","1","1",0.375339644365589,1
"7-8-9","3","0","1","1",0.20086514315827,0
"10","3","0","1","1",0.12682490454442,0
"11-12","3","0","1","1",2.18687591183493e-07,0
"1-2-3","4","0","1","1",3.37676667068352e-07,0
"4","4","0","1","1",1.93382501096702e-07,0
"5-6","4","0","1","1",3.16303047188696e-07,0
"7-8-9","4","0","1","1",1.32314507944911e-07,0
"10","4","0","1","1",7.64585732627855e-08,0
"11-12","4","0","1","1",1.15119065380486e-13,0
"1-2-3","5","0","1","1",0.853064071508716,0
"4","5","0","1","1",0.76877714610731,0
"5-6","5","0","1","1",0.844677321688865,0
"7-8-9","5","0","1","1",0.694646023444962,0
"10","5","0","1","1",0.567951457053938,0
"11-12","5","0","1","1",1.97924176082709e-06,0
"1-2-3","6","0","1","1",3.31479047485959e-07,0
"4","6","0","1","1",1.89833214271946e-07,0
"5-6","6","0","1","1",3.10497712702969e-07,0
"7-8-9","6","0","1","1",1.29886045362919e-07,0
"10","6","0","1","1",7.50552744310405e-08,0
"11-12","6","0","1","1",1.13006202751861e-13,0
"1-2-3","1","1","1","1",0.342966563715731,4
"4","1","1","1","1",0.230140006138505,5
"5-6","1","1","1","1",0.328386879413519,21
"7-8-9","1","1","1","1",0.169805089085757,8
"10","1","1","1","1",0.105699472828753,0
"11-12","1","1","1","1",1.77955038713111e-07,0
"1-2-3","2","1","1","1",0.480997831692692,0
"4","2","1","1","1",0.346725461939579,0
"5-6","2","1","1","1",0.464700476086786,1
"7-8-9","2","1","1","1",0.266402417743115,2
"10","2","1","1","1",0.173447952020957,0
"11-12","2","1","1","1",3.15951095039386e-07,0
"1-2-3","3","1","1","1",0.415992502664025,0
"4","3","1","1","1",0.289736228077034,0
"5-6","3","1","1","1",0.400199321307165,1
"7-8-9","3","1","1","1",0.218205626892553,0
"10","3","1","1","1",0.138884426082912,0
"11-12","3","1","1","1",2.4283597806114e-07,0
"1-2-3","4","1","1","1",3.74964314137721e-07,0
"4","4","1","1","1",2.14736596030933e-07,0
"5-6","4","1","1","1",3.51230532030494e-07,0
"7-8-9","4","1","1","1",1.46925223699472e-07,1
"10","4","1","1","1",8.49014459876314e-08,0
"11-12","4","1","1","1",1.27830991044973e-13,0
"1-2-3","5","1","1","1",0.865713691421174,0
"4","5","1","1","1",0.78687007920986,0
"5-6","5","1","1","1",0.85792870629119,0
"7-8-9","5","1","1","1",0.716399777339449,0
"10","5","1","1","1",0.593448558553504,0
"11-12","5","1","1","1",2.19779738196598e-06,0
"1-2-3","6","1","1","1",3.68082328150616e-07,0
"4","6","1","1","1",2.10795382369994e-07,0
"5-6","6","1","1","1",3.44784148828533e-07,0
"7-8-9","6","1","1","1",1.44228600263922e-07,0
"10","6","1","1","1",8.33431890924762e-08,0
"11-12","6","1","1","1",1.25484817343281e-13,0
"1-2-3","1","0","0","2",0.306106305813765,0
"4","1","0","0","2",0.201683547852318,3
"5-6","1","0","0","2",0.292396238882146,23
"7-8-9","1","0","0","2",0.147380758996282,15
"10","1","0","0","2",0.0908148162968673,2
"11-12","1","0","0","2",1.50392204643107e-07,0
"1-2-3","2","0","0","2",0.439219648104738,0
"4","2","0","0","2",0.309651611155649,0
"5-6","2","0","0","2",0.423183631327659,1
"7-8-9","2","0","0","2",0.234829855744159,0
"10","2","0","0","2",0.150629833827627,0
"11-12","2","0","0","2",2.67014539748927e-07,0
"1-2-3","3","0","0","2",0.375772504709741,0
"4","3","0","0","2",0.256364671640929,0
