"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","12"
"6","0","0","1",0.25,0.25,0.25,0.25
"7","0","0","1",0.25,0.25,0.25,0.25
"11","0","0","1",0.25,0.25,0.25,0.25
"2","1","0","1",0.25,0.25,0.25,0.25
"3","1","0","1",0.25,0.25,0.25,0.25
"4","1","0","1",0.25,0.25,0.25,0.25
"5","1","0","1",0.25,0.25,0.25,0.25
"6","1","0","1",0.25,0.25,0.25,0.25
"7","1","0","1",0.25,0.25,0.25,0.25
"11","1","0","1",0.25,0.25,0.25,0.25
"2","0","1","1",0.25,0.25,0.25,0.25
"3","0","1","1",0.25,0.25,0.25,0.25
"4","0","1","1",0.25,0.25,0.25,0.25
"5","0","1","1",0.25,0.25,0.25,0.25
"6","0","1","1",0.25,0.25,0.25,0.25
"7","0","1","1",0.25,0.25,0.25,0.25
"11","0","1","1",0.25,0.25,0.25,0.25
"2","1","1","1",0.25,0.25,0.25,0.25
"3","1","1","1",0.25,0.25,0.25,0.25
"4","1","1","1",0.25,0.25,0.25,0.25
"5","1","1","1",0.25,0.25,0.25,0.25
"6","1","1","1",0.25,0.25,0.25,0.25
"7","1","1","1",0.25,0.25,0.25,0.25
"11","1","1","1",0.25,0.25,0.25,0.25
