"Flowering_Week","Burst_Month","Position_A","Position_Ancestor_A","probability","stderror","number"
"9","8","1","0",343.269693695533,48.6082468630461,0
"1","9","1","0",316.159345619896,90.2108148736745,0
"3","9","1","0",283.358995809945,90.4465192913474,0
"4","9","1","0",324.450368760598,85.9990595974759,0
"5","9","1","0",332.56141735343,84.7485940149235,0
"6","9","1","0",335.830765280443,83.4737542712376,0
"7","9","1","0",326.816508518081,85.8601897832345,0
"8","9","1","0",320.837141227081,86.0550944042355,0
"9","9","1","0",317.906970627315,90.3921420530322,0
"1","1","1","0",393.360805674696,39.4605694063009,0
"3","1","1","0",360.560455864746,40.2760135257396,0
"4","1","1","0",401.651828815398,28.1402940654939,0
"5","1","1","0",409.76287740823,22.596043837266,2
"6","1","1","0",413.032225335243,23.8591130788345,1
"7","1","1","0",404.017968572881,26.7607076284845,0
"8","1","1","0",398.038601281882,25.7342296539772,0
"9","1","1","0",395.108430682116,40.1352577909666,0
"1","2","1","0",379.686364650953,33.7897658797264,0
"3","2","1","0",346.886014841003,36.4846242435219,0
"4","2","1","0",387.977387791655,21.0479226396937,0
"5","2","1","0",396.088436384487,15.4565642911085,5
"6","2","1","0",399.357784311501,17.7915170399091,0
"7","2","1","0",390.343527549138,21.263991777927,0
"8","2","1","0",384.364160258139,22.817706707132,0
"9","2","1","0",381.433989658373,35.9929942429213,0
"1","3","1","0",357.140880222173,34.3557464634375,0
"3","3","1","0",324.340530412223,34.8079717509136,2
"4","3","1","0",365.431903362875,20.9535663263898,3
"5","3","1","0",373.542951955707,15.1420188847464,2
"6","3","1","0",376.81229988272,16.2356557411271,4
"7","3","1","0",367.798043120358,19.6727810320499,2
"8","3","1","0",361.818675829359,21.0586053027798,3
"9","3","1","0",358.888505229593,34.837720565057,2
"1","8","0","1",331.691303407668,46.397673486717,0
"3","8","0","1",298.890953597717,48.8402967179961,0
"4","8","0","1",339.982326548369,38.3679674203292,0
"5","8","0","1",348.093375141202,34.2735730250607,1
"6","8","0","1",351.362723068215,36.0494206094727,0
"7","8","0","1",342.348466305852,37.3914501385993,0
"8","8","0","1",336.369099014853,38.9607000665185,0
"9","8","0","1",333.438928415087,48.7058327200095,0
"1","9","0","1",306.328580339451,88.6102601230034,0
"3","9","0","1",273.5282305295,89.3882311090859,0
"4","9","0","1",314.619603480152,84.4480195746256,0
"5","9","0","1",322.730652072984,83.1098296735575,0
"6","9","0","1",325.999999999998,82.0143634502629,1
"7","9","0","1",316.985743237635,84.0438723293188,0
"8","9","0","1",311.006375946636,84.5689101338658,0
"9","9","0","1",308.07620534687,89.3437144231152,0
"1","1","0","1",383.530040394251,39.6928233994151,0
"3","1","0","1",350.729690584301,41.6705757948045,0
"4","1","0","1",391.821063534953,28.8461872900444,0
"5","1","0","1",399.932112127785,23.2399959253605,1
"6","1","0","1",403.201460054798,25.146412260583,0
"7","1","0","1",394.187203292436,26.6858084367839,1
"8","1","0","1",388.207836001436,26.7070866409149,1
"9","1","0","1",385.277665401671,41.5571352788503,0
"1","2","0","1",369.855599370508,31.3672802927563,3
"3","2","0","1",337.055249560558,35.6255769208855,0
"4","2","0","1",378.14662251121,17.5218641056346,10
"5","2","0","1",386.257671104042,9.60186942268257,37
"6","2","0","1",389.527019031055,14.2617374278842,8
"7","2","0","1",380.512762268693,16.4902561741532,6
"8","2","0","1",374.533394977693,19.885671815263,1
"9","2","0","1",371.603224377928,35.1486345740235,0
"1","3","0","1",347.310114941728,32.1517811072977,2
"3","3","0","1",314.509765131777,34.0721373077961,3
"4","3","0","1",355.60113808243,17.7289123929864,6
"5","3","0","1",363.712186675262,9.68674203151198,39
"6","3","0","1",366.981534602275,12.7168121704655,16
"7","3","0","1",357.967277839913,14.766557975588,17
"8","3","0","1",351.987910548913,18.1526521484847,9
"9","3","0","1",349.057739949147,34.130036193509,3
"1","8","1","1",342.742190039669,47.2298389644086,0
"3","8","1","1",309.941840229718,49.713848339358,0
"4","8","1","1",351.03321318037,39.9071854983641,0
"5","8","1","1",359.144261773202,36.3961901418086,1
"6","8","1","1",362.413609700216,37.5950710173603,0
"7","8","1","1",353.399352937853,39.3884778711734,0
"8","8","1","1",347.419985646854,40.5927941214865,0
"9","8","1","1",344.489815047088,49.5737871236863,0
"1","9","1","1",317.379466971451,89.382434503749,0
"3","9","1","1",284.579117161501,90.1990898465435,0
"4","9","1","1",325.670490112153,85.5071830645615,0
"5","9","1","1",333.781538704985,84.360988925148,0
"6","9","1","1",337.050886631999,83.0645066547692,0
"7","9","1","1",328.036629869636,85.3008319817226,0
"8","9","1","1",322.057262578637,85.6811949103929,0
"9","9","1","1",319.127091978871,90.1505926263431,0
"1","1","1","1",394.580927026252,37.5744234054225,0
"3","1","1","1",361.780577216301,39.7609419089409,0
"4","1","1","1",402.871950166954,26.6643682245531,0
"5","1","1","1",410.982998759786,21.1779541210698,5
"6","1","1","1",414.252346686799,22.4627284475802,3
"7","1","1","1",405.238089924437,24.977339703702,0
"8","1","1","1",399.258722633437,24.5257159522481,3
"9","1","1","1",396.328552033671,39.6320729035023,0
