Burst,Burst_date_child,Delta_Burst_date,Lateral_GU_daughter,No_Lateral_GU,burst_date_mother,is_loaded,nature_mother_V,position_mother_L,tree,uc
1,3.0,15,1.0,5.0,1.0,1,0,0,F2,53152
1,3.0,15,1.0,2.0,1.0,1,0,0,F2,53167
0,,,,,1.0,1,0,0,F2,53176
0,,,,,1.0,1,0,0,F2,53181
1,2.0,13,1.0,8.0,2.0,1,0,0,F2,53186
0,,,,,12.0,1,0,0,F2,53206
1,2.0,13,1.0,6.0,2.0,1,0,0,F2,53214
1,2.0,13,1.0,5.0,2.0,1,0,1,F2,53230
1,2.0,13,1.0,3.0,2.0,1,0,1,F2,53243
1,2.0,13,1.0,4.0,2.0,1,0,0,F2,53253
0,,,,,10.0,1,1,1,F2,53264
1,3.0,14,1.0,8.0,2.0,1,0,0,F2,53268
1,2.0,13,1.0,3.0,2.0,1,0,0,F2,53292
1,2.0,14,1.0,1.0,1.0,1,0,1,F2,53300
1,2.0,14,1.0,3.0,1.0,1,0,1,F2,53306
0,,,,,12.0,1,1,1,F2,53319
0,,,,,1.0,1,0,0,F2,53321
1,11.0,10,1.0,3.0,1.0,1,0,0,F2,53324
1,10.0,9,1.0,1.0,1.0,1,0,1,F2,53340
1,3.0,14,1.0,7.0,2.0,1,0,0,F2,53349
1,3.0,14,1.0,10.0,2.0,1,0,0,F2,53376
1,3.0,14,1.0,4.0,2.0,1,0,1,F2,53401
1,3.0,14,1.0,2.0,2.0,1,0,1,F2,53413
0,,,,,12.0,1,0,1,F2,53419
0,,,,,9.0,1,1,1,F2,53422
0,,,,,,1,1,1,B10,193
0,,,,,,1,1,1,B10,215
0,,,,,,1,1,1,B10,225
0,,,,,,1,1,1,B10,226
0,,,,,,1,1,1,B10,256
0,,,,,,1,1,1,B10,259
1,8.0,,1.0,2.0,,1,1,1,B10,40814
1,8.0,,1.0,4.0,,1,1,1,B10,40815
1,8.0,,1.0,4.0,,1,1,1,B10,40817
1,8.0,,1.0,4.0,,1,1,0,B10,40903
0,,,,,,1,1,0,B10,40938
0,,,,,,1,1,1,B10,40944
0,,,,,,1,1,0,B10,41194
0,,,,,,1,1,1,B10,41230
0,,,,,,1,1,1,B10,41241
1,8.0,,1.0,3.0,,1,1,1,B10,41243
0,,,,,,1,1,1,B10,41244
1,12.0,,1.0,1.0,,1,1,0,B10,41330
0,,,,,,1,1,1,B10,41331
0,,,,,,1,1,1,B10,41332
0,,,,,,1,1,1,B10,41334
0,,,,,,1,1,1,B10,41335
0,,,,,,1,1,0,B10,41355
0,,,,,,1,1,0,B10,41357
0,,,,,,1,1,1,B10,41383
0,,,,,,1,1,1,B10,41571
0,,,,,,1,1,1,B10,41572
0,,,,,,1,1,0,B10,41689
0,,,,,,1,1,0,B10,41691
0,,,,,,1,0,0,B10,41777
0,,,,,,1,1,1,B10,41782
0,,,,,,1,1,0,B10,41879
0,,,,,,1,1,1,B10,41917
1,3.0,,1.0,1.0,,1,1,0,B10,42075
1,3.0,,1.0,2.0,,1,1,1,B10,42081
1,2.0,,1.0,1.0,,1,0,1,B10,42360
0,,,,,,1,0,1,B10,42513
0,,,,,,1,1,0,B10,42586
0,,,,,,1,1,1,B10,42591
0,,,,,,1,1,1,B10,42594
0,,,,,,1,1,0,B10,42839
0,,,,,,1,0,1,B10,42844
0,,,,,,1,0,1,B10,42845
0,,,,,,1,0,0,B10,42943
0,,,,,,1,1,1,B10,42948
0,,,,,,1,1,0,B10,42993
1,3.0,,1.0,1.0,,1,1,1,B10,43016
1,3.0,,1.0,5.0,,1,1,0,B10,43183
0,,,,,,1,1,0,B10,43200
0,,,,,,1,1,1,B10,43201
0,,,,,,1,1,1,B10,43205
1,3.0,,1.0,2.0,,1,1,0,B10,43266
0,,,,,,1,1,1,B10,43267
0,,,,,,1,1,1,B10,43268
0,,,,,,1,1,1,B10,43269
0,,,,,,1,1,1,B10,43270
1,8.0,,1.0,2.0,,1,1,0,B10,43281
0,,,,,,1,1,1,B10,43282
1,3.0,,1.0,1.0,,1,1,1,B10,43283
0,,,,,,1,1,1,B10,43297
1,8.0,,1.0,1.0,,1,1,1,B10,43298
0,,,,,,1,1,1,B10,43392
1,8.0,,1.0,1.0,,1,1,1,B10,43393
1,8.0,,1.0,2.0,,1,1,0,B10,43447
0,,,,,,1,1,0,B10,43490
1,8.0,,1.0,3.0,,1,1,1,B10,43492
1,8.0,,1.0,1.0,,1,1,1,B10,43493
1,8.0,,1.0,2.0,,1,1,0,B10,43541
1,8.0,,1.0,5.0,,1,1,0,B10,43548
1,8.0,,1.0,2.0,,1,1,0,B10,43562
1,8.0,,1.0,2.0,,1,1,0,B10,43570
1,8.0,6,1.0,1.0,2.0,1,1,1,B10,40821
1,8.0,6,1.0,2.0,2.0,1,1,1,B10,40827
1,8.0,6,1.0,3.0,2.0,1,1,0,B10,40847
1,8.0,6,1.0,1.0,2.0,1,1,1,B10,40879
0,,,,,2.0,1,0,1,B10,40899
0,,,,,2.0,1,1,1,B10,40902
1,8.0,6,0.0,,2.0,1,1,1,B10,40917
1,8.0,6,0.0,,2.0,1,1,1,B10,40922
1,8.0,6,1.0,1.0,2.0,1,1,1,B10,40927
1,8.0,6,1.0,4.0,2.0,1,1,0,B10,40948
1,11.0,9,1.0,3.0,2.0,1,0,0,B10,40983
0,,,,,2.0,1,0,1,B10,41013
1,8.0,6,1.0,1.0,2.0,1,1,1,B10,41015
1,2.0,13,0.0,,2.0,1,1,0,B10,41027
1,8.0,6,1.0,3.0,2.0,1,1,0,B10,41033
1,8.0,6,0.0,,2.0,1,1,0,B10,41068
1,8.0,6,1.0,3.0,2.0,1,1,0,B10,41084
1,8.0,6,0.0,,2.0,1,1,1,B10,41114
1,8.0,6,1.0,1.0,2.0,1,1,1,B10,41117
0,,,,,2.0,1,0,0,B10,41127
1,8.0,6,1.0,1.0,2.0,1,1,0,B10,41132
0,,,,,2.0,1,0,0,B10,41140
1,2.0,13,1.0,4.0,2.0,1,0,0,B10,41145
0,,,,,3.0,1,0,1,B10,41155
1,3.0,14,1.0,2.0,2.0,1,0,0,B10,41160
0,,,,,3.0,1,0,0,B10,41169
0,,,,,12.0,1,1,1,B10,41172
1,3.0,14,1.0,3.0,2.0,1,0,0,B10,41180
1,3.0,14,1.0,1.0,2.0,1,0,0,B10,41190
0,,,,,2.0,1,0,0,B10,41198
0,,,,,12.0,1,0,1,B10,41201
1,3.0,10,0.0,,5.0,1,1,0,B10,41207
1,2.0,13,1.0,3.0,2.0,1,0,0,B10,41212
1,8.0,6,0.0,,2.0,1,1,1,B10,41223
0,,,,,12.0,1,1,1,B10,41228
1,8.0,6,1.0,1.0,2.0,1,1,1,B10,41233
1,8.0,6,1.0,3.0,2.0,1,1,1,B10,41247
1,8.0,6,1.0,2.0,2.0,1,1,1,B10,41296
0,,,,,2.0,1,1,1,B10,41306
0,,,,,2.0,1,1,1,B10,41308
1,8.0,6,0.0,,2.0,1,1,1,B10,41310
1,8.0,6,0.0,,2.0,1,1,1,B10,41316
1,8.0,6,0.0,,2.0,1,1,1,B10,41342
0,,,,,2.0,1,1,1,B10,41353
1,11.0,9,1.0,6.0,2.0,1,0,0,B10,41364
1,11.0,9,1.0,5.0,2.0,1,0,0,B10,41388
1,2.0,13,1.0,2.0,2.0,1,0,1,B10,41408
1,2.0,13,1.0,5.0,2.0,1,0,1,B10,41414
0,,,,,2.0,1,0,1,B10,41427
1,2.0,13,1.0,2.0,2.0,1,0,1,B10,41429
1,11.0,9,1.0,4.0,2.0,1,0,0,B10,41436
1,11.0,9,1.0,1.0,2.0,1,0,1,B10,41450
1,2.0,13,1.0,2.0,2.0,1,0,0,B10,41461
1,2.0,13,1.0,5.0,2.0,1,0,0,B10,41470
1,2.0,13,1.0,6.0,2.0,1,0,1,B10,41485
1,2.0,13,1.0,2.0,2.0,1,0,1,B10,41505
0,,,,,3.0,1,0,1,B10,41513
1,2.0,13,1.0,5.0,2.0,1,0,0,B10,41518
1,2.0,13,1.0,3.0,2.0,1,0,1,B10,41530
0,,,,,2.0,1,0,1,B10,41538
1,2.0,13,1.0,1.0,2.0,1,0,1,B10,41540
1,2.0,13,1.0,9.0,2.0,1,0,0,B10,41548
0,,,,,2.0,1,0,1,B10,41568
1,11.0,9,1.0,4.0,2.0,1,0,0,B10,41577
1,2.0,13,1.0,8.0,2.0,1,0,0,B10,41601
1,2.0,13,1.0,2.0,2.0,1,0,1,B10,41620
1,2.0,13,1.0,4.0,2.0,1,0,1,B10,41626
1,2.0,13,1.0,8.0,2.0,1,0,0,B10,41648
1,2.0,13,1.0,7.0,2.0,1,0,0,B10,41670
1,2.0,13,1.0,5.0,2.0,1,0,0,B10,41696
1,8.0,6,0.0,,2.0,1,1,1,B10,41710
1,2.0,13,1.0,3.0,2.0,1,0,1,B10,41717
1,3.0,14,1.0,3.0,2.0,1,0,0,B10,41727
1,2.0,13,1.0,6.0,2.0,1,0,0,B10,41737
1,2.0,13,1.0,5.0,2.0,1,0,0,B10,41759
0,,,,,12.0,1,0,1,B10,41775
1,2.0,13,1.0,4.0,2.0,1,0,0,B10,41786
1,2.0,13,1.0,3.0,2.0,1,0,1,B10,41799
1,2.0,13,1.0,2.0,2.0,1,0,1,B10,41810
0,,,,,2.0,1,0,1,B10,41816
1,3.0,14,1.0,3.0,2.0,1,0,1,B10,41819
1,3.0,13,1.0,1.0,3.0,1,0,1,B10,41828
1,3.0,14,1.0,4.0,2.0,1,0,0,B10,41834
0,,,,,2.0,1,0,1,B10,41848
0,,,,,2.0,1,0,1,B10,41853
0,,,,,2.0,1,0,1,B10,41856
0,,,,,2.0,1,0,0,B10,41862
1,3.0,14,1.0,3.0,2.0,1,0,0,B10,41866
0,,,,,2.0,1,0,0,B10,41877
1,2.0,15,1.0,2.0,12.0,1,0,1,B10,41885
1,2.0,13,1.0,2.0,2.0,1,0,0,B10,41895
0,,,,,12.0,1,0,1,B10,41905
0,,,,,12.0,1,0,1,B10,41908
0,,,,,2.0,1,0,0,B10,41912
1,2.0,13,1.0,5.0,2.0,1,0,0,B10,41925
0,,,,,2.0,1,0,0,B10,41944
1,3.0,14,1.0,2.0,2.0,1,0,0,B10,41950
1,2.0,13,1.0,4.0,2.0,1,0,0,B10,41960
0,,,,,2.0,1,0,0,B10,41975
1,2.0,13,1.0,5.0,2.0,1,0,0,B10,41980
0,,,,,10.0,1,1,0,B10,41998
1,3.0,14,1.0,2.0,2.0,1,0,0,B10,42001
1,2.0,13,1.0,6.0,2.0,1,0,0,B10,42009
1,3.0,14,1.0,6.0,2.0,1,0,0,B10,42025
0,,,,,2.0,1,0,0,B10,42042
0,,,,,12.0,1,0,1,B10,42047
1,2.0,13,1.0,4.0,2.0,1,0,0,B10,42051
1,2.0,13,1.0,2.0,2.0,1,0,0,B10,42067
0,,,,,9.0,1,1,1,B10,42085
1,3.0,18,1.0,3.0,10.0,1,1,0,B10,42088
1,3.0,14,1.0,7.0,2.0,1,0,0,B10,42103
1,3.0,14,1.0,2.0,2.0,1,0,1,B10,42125
1,3.0,14,1.0,3.0,2.0,1,0,1,B10,42131
1,3.0,14,1.0,4.0,2.0,1,0,0,B10,42141
1,3.0,14,1.0,5.0,2.0,1,0,0,B10,42158
1,3.0,14,1.0,4.0,2.0,1,0,1,B10,42175
1,2.0,13,1.0,3.0,2.0,1,0,0,B10,42198
1,11.0,9,1.0,1.0,2.0,1,0,1,B10,42208
1,2.0,13,1.0,5.0,2.0,1,0,0,B10,42232
0,,,,,2.0,1,0,1,B10,42248
1,3.0,14,1.0,5.0,2.0,1,0,0,B10,42256
1,3.0,14,1.0,3.0,2.0,1,0,1,B10,42272
1,3.0,14,1.0,2.0,2.0,1,0,1,B10,42282
