Burst,Date_burst_daughter,Delta_Burst_date_child,Flowering,Flowering_Date,Lateral_GU_daughter,No_Lateral_GU,No_inflo,burst_date_mother,cycle,is_in_extremity,is_loaded,tree,uc
0,,,0.0,NA,,,0.0,10,4,1,1,F2,52198
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52200
1,3.0,15.0,1.0,,1.0,3.0,1.0,1,4,1,1,F2,52201
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,52216
0,,,1.0,,,,1.0,12,4,1,1,F2,52217
0,,,1.0,,,,1.0,12,4,1,1,F2,52220
0,,,1.0,,,,1.0,12,4,1,1,F2,52223
0,,,1.0,,,,1.0,10,4,1,1,F2,52226
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,52229
0,,,1.0,,,,1.0,12,4,1,1,F2,52230
1,12.0,2.0,,NA,1.0,1.0,,10,4,0,1,F2,52234
0,,,1.0,,,,2.0,12,4,1,1,F2,52235
0,,,1.0,,,,1.0,12,4,1,1,F2,52237
0,,,1.0,,,,1.0,2,4,1,1,F2,52242
0,,,1.0,,,,1.0,2,4,1,1,F2,52245
0,,,0.0,NA,,,0.0,9,4,1,1,F2,52255
1,12.0,2.0,,NA,1.0,4.0,,10,4,0,1,F2,52257
1,1.0,2.0,,NA,1.0,2.0,,11,4,0,1,F2,52258
1,11.0,10.0,1.0,,1.0,5.0,1.0,1,4,1,1,F2,52259
1,3.0,15.0,1.0,,1.0,2.0,1.0,1,4,1,1,F2,52277
1,3.0,15.0,1.0,,0.0,,1.0,1,4,1,1,F2,52285
1,1.0,1.0,,NA,0.0,,,12,4,0,1,F2,52290
0,,,1.0,,,,1.0,1,4,1,1,F2,52291
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52293
1,3.0,15.0,1.0,,1.0,5.0,1.0,1,4,1,1,F2,52294
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52310
1,3.0,15.0,1.0,,1.0,2.0,1.0,1,4,1,1,F2,52311
1,1.0,2.0,,NA,1.0,1.0,,11,4,0,1,F2,52319
1,11.0,10.0,1.0,,1.0,5.0,3.0,1,4,1,1,F2,52320
1,8.0,7.0,1.0,,1.0,6.0,1.0,1,4,1,1,F2,52340
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,52362
1,1.0,2.0,,NA,1.0,2.0,,11,4,0,1,F2,52363
1,3.0,15.0,1.0,,1.0,8.0,2.0,1,4,1,1,F2,52364
1,3.0,15.0,1.0,,1.0,5.0,2.0,1,4,1,1,F2,52388
1,3.0,15.0,1.0,,1.0,2.0,1.0,1,4,1,1,F2,52404
0,,,0.0,NA,,,0.0,10,4,1,1,F2,52412
1,11.0,1.0,,NA,1.0,1.0,,10,4,0,1,F2,52415
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52416
0,,,1.0,,,,1.0,1,4,1,1,F2,52417
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52419
0,,,1.0,,,,1.0,1,4,1,1,F2,52420
0,,,1.0,,,,1.0,12,4,1,1,F2,52423
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52426
0,,,1.0,,,,1.0,1,4,1,1,F2,52427
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52431
0,,,1.0,,,,1.0,1,4,1,1,F2,52432
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52435
0,,,1.0,,,,2.0,1,4,1,1,F2,52436
1,11.0,1.0,,NA,1.0,5.0,,10,4,0,1,F2,52440
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52441
1,3.0,15.0,1.0,,1.0,6.0,1.0,1,4,1,1,F2,52442
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52461
0,,,1.0,,,,1.0,1,4,1,1,F2,52462
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52464
1,3.0,15.0,1.0,,0.0,,1.0,1,4,1,1,F2,52465
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52469
0,,,1.0,,,,1.0,1,4,1,1,F2,52470
1,1.0,2.0,,NA,1.0,1.0,,11,4,0,1,F2,52472
1,3.0,15.0,1.0,,1.0,5.0,1.0,1,4,1,1,F2,52473
0,,,1.0,,,,1.0,1,4,1,1,F2,52490
1,1.0,2.0,,NA,1.0,2.0,,11,4,0,1,F2,52492
1,3.0,15.0,1.0,,1.0,2.0,1.0,1,4,1,1,F2,52498
1,12.0,2.0,,NA,1.0,2.0,,10,4,0,1,F2,52511
0,,,1.0,,,,1.0,12,4,1,1,F2,52512
0,,,1.0,,,,1.0,12,4,1,1,F2,52514
1,1.0,2.0,,NA,0.0,,,11,4,0,1,F2,52517
0,,,1.0,,,,1.0,1,4,1,1,F2,52518
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,52531
1,2.0,3.0,,NA,1.0,1.0,,11,4,0,1,F2,52532
1,3.0,14.0,1.0,,1.0,11.0,2.0,2,4,1,1,F2,52533
1,3.0,14.0,1.0,0,0.0,,1.0,2,4,1,1,F2,52560
1,3.0,18.0,0.0,NA,0.0,,0.0,10,4,1,1,F2,52565
1,3.0,18.0,1.0,,0.0,,1.0,10,4,1,1,F2,52569
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,52575
1,2.0,3.0,,NA,0.0,,,11,4,0,1,F2,52576
0,,,1.0,,,,1.0,2,4,1,1,F2,52577
0,,,1.0,,,,1.0,10,4,1,1,F2,52580
0,,,1.0,,,,1.0,10,4,1,1,F2,52583
1,2.0,4.0,,NA,1.0,2.0,,10,4,0,1,F2,52592
1,3.0,14.0,1.0,,0.0,,1.0,2,4,1,1,F2,52596
1,2.0,3.0,,NA,0.0,,,11,4,0,1,F2,52601
1,3.0,14.0,1.0,,1.0,2.0,1.0,2,4,1,1,F2,52602
0,,,0.0,NA,,,0.0,10,4,1,1,F2,52615
1,11.0,1.0,,NA,0.0,,,10,4,0,1,F2,52617
1,2.0,3.0,,NA,1.0,1.0,,11,4,0,1,F2,52618
1,3.0,14.0,1.0,,1.0,4.0,2.0,2,4,1,1,F2,52619
1,1.0,11.0,1.0,,1.0,3.0,1.0,2,4,1,1,F2,52630
1,3.0,18.0,1.0,,0.0,,1.0,10,4,1,1,F2,52663
0,,,1.0,,,,1.0,10,4,1,1,F2,52668
1,11.0,1.0,,NA,1.0,4.0,,10,4,0,1,F2,52672
1,2.0,3.0,,NA,1.0,3.0,,11,4,0,1,F2,52684
1,3.0,14.0,1.0,,1.0,2.0,2.0,2,4,1,1,F2,52685
1,3.0,14.0,1.0,,1.0,3.0,1.0,2,4,1,1,F2,52691
1,3.0,14.0,1.0,,1.0,3.0,1.0,2,4,1,1,F2,52699
1,3.0,14.0,1.0,,1.0,3.0,1.0,2,4,1,1,F2,52707
1,3.0,18.0,0.0,NA,0.0,,0.0,10,4,1,1,F2,52716
1,11.0,1.0,,NA,1.0,1.0,,10,4,0,1,F2,52721
1,2.0,3.0,,NA,1.0,2.0,,11,4,0,1,F2,52724
1,3.0,14.0,1.0,0,1.0,6.0,2.0,2,4,1,1,F2,52730
1,9.0,7.0,0.0,NA,0.0,,0.0,2,4,1,1,F2,52752
1,9.0,7.0,0.0,NA,0.0,,0.0,2,4,1,1,F2,52757
1,12.0,2.0,,NA,1.0,2.0,,10,4,0,1,F2,52771
1,2.0,3.0,,NA,0.0,,,11,4,0,1,F2,52772
0,,,1.0,,,,1.0,2,4,1,1,F2,52773
0,,,1.0,,,,1.0,12,4,1,1,F2,52775
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,52778
1,3.0,16.0,0.0,NA,1.0,3.0,0.0,12,4,1,1,F2,52779
1,12.0,2.0,,NA,1.0,6.0,,10,4,0,1,F2,52794
1,1.0,2.0,,NA,1.0,5.0,,11,4,0,1,F2,52795
1,9.0,8.0,1.0,,1.0,2.0,2.0,1,4,1,1,F2,52796
0,,,1.0,,,,1.0,1,4,1,1,F2,52811
1,9.0,8.0,1.0,,1.0,1.0,1.0,1,4,1,1,F2,52813
1,9.0,8.0,0.0,NA,1.0,1.0,0.0,1,4,1,1,F2,52824
1,3.0,15.0,1.0,,1.0,4.0,1.0,1,4,1,1,F2,52837
1,8.0,7.0,1.0,,0.0,,1.0,1,4,1,1,F2,52847
0,,,0.0,NA,,,0.0,12,4,1,1,F2,52851
0,,,1.0,,,,,12,4,1,1,F2,52852
1,2.0,3.0,,NA,0.0,,,11,4,0,1,F2,52854
1,3.0,14.0,1.0,,1.0,2.0,1.0,2,4,1,1,F2,52855
1,1.0,2.0,,NA,1.0,1.0,,11,4,0,1,F2,52861
1,9.0,8.0,0.0,NA,0.0,,0.0,1,4,1,1,F2,52862
1,9.0,8.0,0.0,NA,0.0,,0.0,1,4,1,1,F2,52871
1,1.0,2.0,,NA,1.0,1.0,,11,4,0,1,F2,52876
1,9.0,8.0,0.0,NA,1.0,3.0,0.0,1,4,1,1,F2,52877
1,9.0,8.0,0.0,NA,0.0,,0.0,1,4,1,1,F2,52927
0,,,1.0,,,,,12,4,1,1,F2,52938
0,,,0.0,NA,,,0.0,10,4,1,1,F2,52941
1,12.0,2.0,,NA,0.0,,,10,4,0,1,F2,52943
1,2.0,2.0,,NA,0.0,,,12,4,0,1,F2,52944
1,1.0,11.0,1.0,,1.0,2.0,1.0,2,4,1,1,F2,52945
1,12.0,2.0,,NA,1.0,3.0,,10,4,0,1,F2,52953
1,1.0,2.0,,NA,1.0,3.0,,11,4,0,1,F2,52954
1,9.0,8.0,0.0,NA,1.0,5.0,0.0,1,4,1,1,F2,52955
1,9.0,8.0,0.0,NA,0.0,,0.0,1,4,1,1,F2,52992
