Burst,Date_burst_daughter,Delta_Burst_date_child,Flowering,Flowering_Date,Lateral_GU_daughter,No_Lateral_GU,No_inflo,burst_date_mother,is_in_extremity,is_loaded,nature_ancestor,position_ancestor,position_mother,uc
no,,,yes,3,,,1.0,1,yes,no,F,A,L,49763
no,,,yes,6,,,3.0,1,yes,no,F,A,L,49766
no,,,yes,3,,,1.0,1,yes,no,F,A,L,49769
no,,,no,NA,,,0.0,1,yes,no,F,A,L,49772
no,,,yes,5,,,1.0,1,yes,no,F,A,L,49774
no,,,yes,3,,,1.0,1,yes,no,F,A,L,49777
no,,,yes,6,,,1.0,1,yes,no,F,L,L,49782
no,,,yes,3,,,1.0,1,yes,no,F,L,L,49785
no,,,yes,3,,,1.0,1,yes,no,F,L,L,49788
no,,,yes,3,,,1.0,1,yes,no,F,L,L,49791
no,,,yes,4,,,1.0,1,yes,no,F,L,L,49794
no,,,yes,6,,,1.0,1,yes,no,F,L,L,49799
no,,,yes,3,,,1.0,1,yes,no,F,L,L,49802
no,,,yes,3,,,1.0,1,yes,no,F,L,L,49805
no,,,yes,4,,,1.0,1,yes,no,F,L,L,49810
no,,,yes,4,,,1.0,1,yes,no,F,L,L,49813
no,,,yes,4,,,1.0,1,yes,no,F,L,L,49816
yes,05-01,5.0,,NA,no,,,8,no,no,F,A,A,49829
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49830
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49833
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49836
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49839
no,,,yes,6,,,1.0,1,yes,no,F,A,L,49842
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49845
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49848
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49858
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49861
no,,,yes,2,,,1.0,1,yes,no,F,A,L,49864
no,,,yes,1,,,1.0,1,yes,no,F,A,L,49867
