Burst,Date_burst_daughter,Delta_Burst_date_child,Flowering,Flowering_Date,Lateral_GU_daughter,No_Lateral_GU,No_inflo,burst_date_mother,is_in_extremity,is_loaded,nature_ancestor_V,position_ancestor_L,position_mother_L,tree,uc
1,1.0,2.0,,NA,0.0,,,11,0,1,0,1,1,F2,53077
0,,,1.0,,,,1.0,1,1,1,0,1,0,F2,53078
1,12.0,2.0,,NA,0.0,,,10,0,1,0,1,1,F2,53081
0,,,1.0,,,,1.0,12,1,1,0,1,0,F2,53082
1,11.0,1.0,,NA,1.0,3.0,,10,0,1,0,0,0,F2,53089
1,1.0,2.0,,NA,1.0,2.0,,11,0,1,0,0,0,F2,53090
0,,,1.0,,,,1.0,2,1,1,0,0,0,F2,53091
0,,,1.0,,,,2.0,1,1,1,0,0,1,F2,53106
0,,,1.0,,,,2.0,1,1,1,0,0,1,F2,53121
1,1.0,2.0,,NA,1.0,1.0,,11,0,1,0,0,1,F2,53125
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,53126
0,,,1.0,,,,1.0,1,1,1,0,0,1,F2,53141
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,1,F2,53151
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,53152
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,1,F2,53166
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,53167
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,1,F2,53174
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,0,F2,53175
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,53176
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,1,F2,53179
1,1.0,2.0,,NA,0.0,,,11,0,1,0,0,0,F2,53180
0,,,1.0,,,,1.0,1,1,1,0,0,0,F2,53181
1,11.0,1.0,,NA,0.0,,,10,0,1,0,0,1,F2,53184
1,2.0,3.0,,NA,0.0,,,11,0,1,0,0,0,F2,53185
0,,,1.0,,,,3.0,2,1,1,0,0,0,F2,53186
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,1,F2,53205
0,,,1.0,,,,1.0,12,1,1,0,0,0,F2,53206
1,11.0,1.0,,NA,1.0,1.0,,10,0,1,0,1,0,F2,53209
1,2.0,3.0,,NA,1.0,2.0,,11,0,1,0,1,0,F2,53210
0,,,1.0,,,,1.0,2,1,1,0,1,0,F2,53214
0,,,1.0,,,,1.0,2,1,1,0,1,1,F2,53230
0,,,1.0,,,,1.0,2,1,1,0,1,1,F2,53243
1,2.0,3.0,,NA,0.0,,,11,0,1,0,1,1,F2,53252
0,,,1.0,,,,1.0,2,1,1,0,1,0,F2,53253
0,,,0.0,NA,,,0.0,10,1,1,0,1,1,F2,53264
1,11.0,1.0,,NA,0.0,,,10,0,1,0,1,1,F2,53266
1,2.0,3.0,,NA,0.0,,,11,0,1,0,1,0,F2,53267
0,,,1.0,,,,2.0,2,1,1,0,1,0,F2,53268
1,12.0,2.0,,NA,1.0,3.0,,10,0,1,0,1,0,F2,53288
1,1.0,2.0,,NA,1.0,2.0,,11,0,1,0,1,0,F2,53289
0,,,1.0,,,,3.0,2,1,1,0,1,0,F2,53292
0,,,1.0,,,,1.0,1,1,1,0,1,1,F2,53300
0,,,1.0,,,,2.0,1,1,1,0,1,1,F2,53306
0,,,0.0,NA,,,0.0,12,1,1,0,1,1,F2,53319
1,1.0,2.0,,NA,0.0,,,11,0,1,0,1,1,F2,53320
0,,,1.0,,,,1.0,1,1,1,0,1,0,F2,53321
1,1.0,2.0,,NA,1.0,1.0,,11,0,1,0,1,1,F2,53323
0,,,1.0,,,,1.0,1,1,1,0,1,0,F2,53324
0,,,1.0,,,,1.0,1,1,1,0,1,1,F2,53340
1,11.0,1.0,,NA,0.0,,,10,0,1,0,1,1,F2,53347
1,2.0,3.0,,NA,0.0,,,11,0,1,0,1,0,F2,53348
0,,,1.0,,,,2.0,2,1,1,0,1,0,F2,53349
1,12.0,2.0,,NA,1.0,1.0,,10,0,1,0,1,0,F2,53371
1,2.0,2.0,,NA,1.0,2.0,,12,0,1,0,1,0,F2,53372
0,,,1.0,,,,2.0,2,1,1,0,1,0,F2,53376
0,,,1.0,,,,1.0,2,1,1,0,1,1,F2,53401
0,,,1.0,,,,1.0,2,1,1,0,1,1,F2,53413
0,,,1.0,,,,1.0,12,1,1,0,1,1,F2,53419
0,,,0.0,NA,,,0.0,9,1,1,0,0,1,F2,53422
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,40821
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,40827
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,40846
0,,,0.0,NA,,,0.0,2,1,1,1,0,0,B10,40847
0,,,0.0,NA,,,0.0,2,1,1,1,1,1,B10,40879
0,,,1.0,,,,1.0,2,1,1,1,1,1,B10,40899
0,,,0.0,NA,,,0.0,2,1,1,1,1,1,B10,40902
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,40917
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,40922
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,40927
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,40947
0,,,0.0,NA,,,0.0,2,1,1,1,0,0,B10,40948
1,2.0,2.0,,NA,1.0,2.0,,12,0,1,1,0,1,B10,40982
0,,,1.0,,,,2.0,2,1,1,1,0,0,B10,40983
0,,,1.0,,,,1.0,2,1,1,1,0,1,B10,41013
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,41015
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,41026
0,,,0.0,NA,,,0.0,2,1,1,1,0,0,B10,41027
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,41032
0,,,0.0,NA,,,0.0,2,1,1,1,0,0,B10,41033
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,41067
0,,,0.0,NA,,,0.0,2,1,1,1,0,0,B10,41068
1,2.0,2.0,,NA,1.0,2.0,,12,0,1,1,1,1,B10,41083
0,,,0.0,NA,,,0.0,2,1,1,1,1,0,B10,41084
0,,,0.0,NA,,,0.0,2,1,1,1,1,1,B10,41114
0,,,0.0,NA,,,0.0,2,1,1,1,1,1,B10,41117
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,41126
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,41127
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,41131
0,,,0.0,NA,,,0.0,2,1,1,1,1,0,B10,41132
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,41139
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,41140
1,3.0,3.0,,NA,1.0,1.0,,12,0,1,1,1,1,B10,41144
0,,,1.0,,,,4.0,2,1,1,1,1,0,B10,41145
0,,,1.0,,,,1.0,3,1,1,1,1,1,B10,41155
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,41159
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,41160
1,3.0,3.0,,NA,0.0,,,12,0,1,1,1,1,B10,41168
0,,,1.0,,,,1.0,3,1,1,1,1,0,B10,41169
0,,,0.0,NA,,,0.0,12,1,1,1,1,1,B10,41172
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,41177
0,,,1.0,,,,5.0,2,1,1,1,0,0,B10,41180
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,41189
0,,,1.0,,,,3.0,2,1,1,1,0,0,B10,41190
1,2.0,2.0,,NA,0.0,,,12,0,1,0,0,1,B10,41197
0,,,1.0,,,,1.0,2,1,1,0,0,0,B10,41198
0,,,1.0,,,,1.0,12,1,1,0,0,1,B10,41201
1,5.0,3.0,,NA,0.0,,,2,0,1,1,0,1,B10,41206
0,,,0.0,NA,,,0.0,5,1,1,1,0,0,B10,41207
1,2.0,2.0,,NA,1.0,1.0,,12,0,1,1,0,1,B10,41211
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,41212
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,41223
0,,,0.0,NA,,,0.0,12,1,1,1,0,1,B10,41228
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,41233
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,41247
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,41296
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,41306
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,41308
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,41310
0,,,0.0,NA,,,0.0,2,1,1,0,1,1,B10,41316
0,,,0.0,NA,,,0.0,2,1,1,1,1,1,B10,41342
0,,,0.0,NA,,,0.0,2,1,1,1,1,1,B10,41353
1,12.0,2.0,,NA,0.0,,,10,0,1,1,0,0,B10,41362
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,0,B10,41363
0,,,1.0,,,,2.0,2,1,1,1,0,0,B10,41364
1,12.0,3.0,,NA,1.0,1.0,,9,0,1,0,0,0,B10,41386
1,2.0,2.0,,NA,1.0,4.0,,12,0,1,0,0,0,B10,41387
0,,,1.0,,,,1.0,2,1,1,0,0,0,B10,41388
0,,,1.0,,,,1.0,2,1,1,0,0,1,B10,41408
0,,,1.0,,,,1.0,2,1,1,0,0,1,B10,41414
0,,,1.0,,,,1.0,2,1,1,0,0,1,B10,41427
0,,,1.0,,,,1.0,2,1,1,0,0,1,B10,41429
1,2.0,2.0,,NA,1.0,1.0,,12,0,1,0,0,1,B10,41435
0,,,1.0,,,,1.0,2,1,1,0,0,0,B10,41436
0,,,1.0,,,,1.0,2,1,1,0,0,1,B10,41450
1,12.0,3.0,,NA,0.0,,,9,0,1,0,0,1,B10,41459
1,2.0,2.0,,NA,0.0,,,12,0,1,0,0,0,B10,41460
0,,,1.0,,,,1.0,2,1,1,0,0,0,B10,41461
1,12.0,3.0,,NA,0.0,,,9,0,1,0,0,1,B10,41468
1,3.0,3.0,,NA,1.0,3.0,,12,0,1,0,0,0,B10,41469
0,,,1.0,,,,4.0,2,1,1,0,0,0,B10,41470
0,,,1.0,,,,1.0,2,1,1,0,0,1,B10,41485
0,,,1.0,,,,1.0,2,1,1,0,0,1,B10,41505
0,,,1.0,,,,1.0,3,1,1,0,0,1,B10,41513
1,12.0,3.0,,NA,0.0,,,9,0,1,0,1,0,B10,41516
1,2.0,2.0,,NA,1.0,3.0,,12,0,1,0,1,0,B10,41517
0,,,1.0,,,,1.0,2,1,1,0,1,0,B10,41518
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,41530
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,41538
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,41540
1,12.0,3.0,,NA,0.0,,,9,0,1,0,1,0,B10,41546
1,2.0,2.0,,NA,1.0,1.0,,12,0,1,0,1,0,B10,41547
0,,,1.0,,,,1.0,2,1,1,0,1,0,B10,41548
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,41568
1,12.0,3.0,,NA,0.0,,,9,0,1,0,0,0,B10,41575
1,2.0,2.0,,NA,0.0,,,12,0,1,0,0,0,B10,41576
0,,,1.0,,,,1.0,2,1,1,0,0,0,B10,41577
1,12.0,3.0,,NA,0.0,,,9,0,1,0,0,1,B10,41599
1,2.0,2.0,,NA,1.0,2.0,,12,0,1,0,0,0,B10,41600
0,,,1.0,,,,1.0,2,1,1,0,0,0,B10,41601
0,,,1.0,,,,1.0,2,1,1,0,0,1,B10,41620
0,,,1.0,,,,1.0,2,1,1,0,0,1,B10,41626
1,12.0,3.0,,NA,1.0,1.0,,9,0,1,0,1,0,B10,41640
1,2.0,2.0,,NA,0.0,,,12,0,1,0,1,0,B10,41641
0,,,1.0,,,,5.0,2,1,1,0,1,0,B10,41648
1,2.0,2.0,,NA,0.0,,,12,0,1,0,1,1,B10,41669
0,,,1.0,,,,1.0,2,1,1,0,1,0,B10,41670
1,2.0,2.0,,NA,1.0,2.0,,12,0,1,0,0,0,B10,41695
0,,,1.0,,,,2.0,2,1,1,0,0,0,B10,41696
0,,,0.0,NA,,,0.0,2,1,1,0,0,1,B10,41710
0,,,1.0,,,,1.0,2,1,1,0,0,1,B10,41717
1,2.0,2.0,,NA,0.0,,,12,0,1,0,0,1,B10,41726
0,,,1.0,,,,1.0,2,1,1,0,0,0,B10,41727
1,2.0,2.0,,NA,0.0,,,12,0,1,0,0,1,B10,41736
0,,,1.0,,,,1.0,2,1,1,0,0,0,B10,41737
1,2.0,2.0,,NA,0.0,,,12,0,1,0,1,0,B10,41752
0,,,1.0,,,,3.0,2,1,1,0,1,0,B10,41759
0,,,1.0,,,,1.0,12,1,1,0,1,1,B10,41775
1,2.0,2.0,,NA,1.0,3.0,,12,0,1,0,0,0,B10,41785
0,,,1.0,,,,1.0,2,1,1,0,0,0,B10,41786
0,,,1.0,,,,1.0,2,1,1,0,0,1,B10,41799
0,,,1.0,,,,1.0,2,1,1,0,0,1,B10,41810
0,,,1.0,,,,1.0,2,1,1,0,0,1,B10,41816
0,,,1.0,,,,1.0,2,1,1,0,0,1,B10,41819
0,,,1.0,,,,1.0,3,1,1,0,0,1,B10,41828
1,2.0,2.0,,NA,1.0,1.0,,12,0,1,0,1,0,B10,41833
0,,,1.0,,,,1.0,2,1,1,0,1,0,B10,41834
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,41848
0,,,1.0,,,,1.0,2,1,1,1,1,1,B10,41853
0,,,1.0,,,,1.0,2,1,1,1,1,1,B10,41856
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,41861
0,,,1.0,0,,,1.0,2,1,1,1,0,0,B10,41862
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,41865
0,,,1.0,0,,,1.0,2,1,1,1,0,0,B10,41866
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,41876
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,41877
0,,,1.0,,,,1.0,12,1,1,1,0,1,B10,41885
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,41894
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,41895
0,,,1.0,,,,1.0,12,1,1,1,1,1,B10,41905
0,,,1.0,,,,1.0,12,1,1,0,1,1,B10,41908
1,2.0,2.0,,NA,0.0,,,12,0,1,0,1,1,B10,41911
0,,,1.0,0,,,1.0,2,1,1,0,1,0,B10,41912
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,41921
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,41925
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,41943
0,,,1.0,0,,,1.0,2,1,1,1,0,0,B10,41944
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,41947
0,,,1.0,0,,,1.0,2,1,1,1,0,0,B10,41950
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,41959
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,41960
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,41974
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,41975
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,41979
0,,,1.0,0,,,1.0,2,1,1,1,1,0,B10,41980
0,,,0.0,NA,,,0.0,10,1,1,1,1,0,B10,41998
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42000
0,,,1.0,0,,,1.0,2,1,1,1,1,0,B10,42001
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42008
0,,,1.0,,,,3.0,2,1,1,1,1,0,B10,42009
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42024
0,,,1.0,0,,,2.0,2,1,1,1,1,0,B10,42025
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42041
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,42042
0,,,1.0,,,,1.0,12,1,1,1,1,1,B10,42047
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42050
0,,,1.0,0,,,1.0,2,1,1,1,1,0,B10,42051
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42066
0,,,1.0,0,,,1.0,2,1,1,1,1,0,B10,42067
0,,,0.0,NA,,,0.0,9,1,1,0,0,1,B10,42085
0,,,0.0,NA,,,0.0,10,1,1,1,0,0,B10,42088
1,12.0,3.0,,NA,0.0,,,9,0,1,1,0,1,B10,42098
1,2.0,2.0,,NA,1.0,2.0,,12,0,1,1,0,0,B10,42099
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,42103
0,,,1.0,,,,1.0,2,1,1,1,0,1,B10,42125
0,,,1.0,,,,1.0,2,1,1,1,0,1,B10,42131
1,2.0,5.0,,NA,0.0,,,9,0,1,1,0,1,B10,42140
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,42141
1,12.0,3.0,,NA,0.0,,,9,0,1,0,1,0,B10,42156
1,2.0,2.0,,NA,1.0,1.0,,12,0,1,0,1,0,B10,42157
0,,,1.0,,,,2.0,2,1,1,0,1,0,B10,42158
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,42175
1,12.0,3.0,,NA,0.0,,,9,0,1,0,1,0,B10,42196
1,2.0,2.0,,NA,1.0,1.0,,12,0,1,0,1,0,B10,42197
0,,,1.0,,,,6.0,2,1,1,0,1,0,B10,42198
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,42208
1,12.0,3.0,,NA,0.0,,,9,0,1,0,1,1,B10,42225
1,2.0,2.0,,NA,1.0,1.0,,12,0,1,0,1,0,B10,42226
0,,,1.0,,,,2.0,2,1,1,0,1,0,B10,42232
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,42248
1,12.0,3.0,,NA,1.0,2.0,,9,0,1,0,1,0,B10,42251
1,2.0,2.0,,NA,1.0,2.0,,12,0,1,0,1,0,B10,42252
0,,,1.0,,,,4.0,2,1,1,0,1,0,B10,42256
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,42272
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,42282
1,2.0,2.0,,NA,0.0,,,12,0,1,0,1,1,B10,42290
0,,,1.0,,,,1.0,2,1,1,0,1,0,B10,42291
1,2.0,2.0,,NA,0.0,,,12,0,1,0,1,1,B10,42309
0,,,1.0,,,,1.0,2,1,1,0,1,0,B10,42310
1,12.0,3.0,,NA,0.0,,,9,0,1,0,1,1,B10,42322
1,2.0,2.0,,NA,0.0,,,12,0,1,0,1,0,B10,42323
0,,,1.0,,,,1.0,2,1,1,0,1,0,B10,42324
1,12.0,3.0,,NA,0.0,,,9,0,1,0,1,1,B10,42347
1,2.0,2.0,,NA,0.0,,,12,0,1,0,1,0,B10,42348
0,,,1.0,,,,1.0,2,1,1,0,1,0,B10,42349
1,2.0,5.0,,NA,0.0,,,9,0,1,0,1,1,B10,42355
0,,,1.0,,,,1.0,2,1,1,0,1,0,B10,42356
1,12.0,3.0,,NA,1.0,5.0,,9,0,1,0,0,0,B10,42362
1,2.0,2.0,,NA,1.0,1.0,,12,0,1,0,0,0,B10,42363
0,,,1.0,0,,,3.0,2,1,1,0,0,0,B10,42366
0,,,1.0,0,,,1.0,2,1,1,0,0,1,B10,42398
1,2.0,2.0,,NA,0.0,,,12,0,1,0,0,1,B10,42405
0,,,1.0,0,,,1.0,2,1,1,0,0,0,B10,42406
1,2.0,2.0,,NA,0.0,,,12,0,1,0,0,1,B10,42410
0,,,1.0,0,,,1.0,2,1,1,0,0,0,B10,42411
1,2.0,2.0,,NA,0.0,,,12,0,1,0,0,1,B10,42425
0,,,1.0,0,,,3.0,2,1,1,0,0,0,B10,42426
1,2.0,2.0,,NA,0.0,,,12,0,1,0,0,1,B10,42458
0,,,1.0,0,,,2.0,2,1,1,0,0,0,B10,42464
1,2.0,2.0,,NA,0.0,,,12,0,1,0,0,1,B10,42486
0,,,1.0,0,,,1.0,2,1,1,0,0,0,B10,42487
1,2.0,2.0,,NA,0.0,,,12,0,1,0,0,1,B10,42490
0,,,1.0,0,,,1.0,2,1,1,0,0,0,B10,42494
1,2.0,2.0,,NA,0.0,,,12,0,1,0,1,0,B10,42503
0,,,1.0,0,,,1.0,2,1,1,0,1,0,B10,42504
1,2.0,2.0,,NA,0.0,,,12,0,1,0,0,0,B10,42515
0,,,1.0,,,,1.0,2,1,1,0,0,0,B10,42516
1,12.0,3.0,,NA,1.0,1.0,,9,0,1,0,1,0,B10,42519
1,2.0,2.0,,NA,1.0,4.0,,12,0,1,0,1,0,B10,42520
0,,,1.0,,,,3.0,2,1,1,0,1,0,B10,42524
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,42535
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,42537
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,42545
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,42547
0,,,0.0,NA,,,0.0,12,1,1,0,1,1,B10,42554
1,12.0,3.0,,NA,1.0,1.0,,9,0,1,0,1,1,B10,42556
1,2.0,2.0,,NA,1.0,1.0,,12,0,1,0,1,0,B10,42557
0,,,1.0,,,,1.0,2,1,1,0,1,0,B10,42558
0,,,1.0,,,,1.0,2,1,1,0,1,1,B10,42569
1,2.0,2.0,,NA,0.0,,,12,0,1,0,1,1,B10,42571
0,,,1.0,,,,1.0,2,1,1,0,1,0,B10,42572
1,12.0,3.0,,NA,0.0,,,9,0,1,0,1,1,B10,42575
1,2.0,2.0,,NA,0.0,,,12,0,1,0,1,0,B10,42576
0,,,1.0,,,,1.0,2,1,1,0,1,0,B10,42577
1,12.0,3.0,,NA,0.0,,,9,0,1,0,0,1,B10,42582
1,2.0,2.0,,NA,0.0,,,12,0,1,0,0,0,B10,42583
0,,,1.0,,,,1.0,2,1,1,0,0,0,B10,42584
1,3.0,3.0,,NA,0.0,,,12,0,1,1,0,1,B10,42598
0,,,1.0,,,,1.0,3,1,1,1,0,0,B10,42599
0,,,0.0,NA,,,0.0,12,1,1,1,0,1,B10,42608
1,2.0,5.0,,NA,0.0,,,9,0,1,1,0,1,B10,42610
0,,,0.0,NA,,,0.0,2,1,1,1,0,0,B10,42611
1,2.0,5.0,,NA,1.0,1.0,,9,0,1,1,0,1,B10,42613
0,,,0.0,NA,,,0.0,2,1,1,1,0,0,B10,42614
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,42647
1,2.0,5.0,,NA,1.0,1.0,,9,0,1,1,0,1,B10,42652
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,42653
0,,,0.0,NA,,,0.0,2,1,1,1,0,1,B10,42683
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42740
0,,,1.0,,,,2.0,2,1,1,1,1,0,B10,42741
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42744
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,42745
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42748
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,42749
0,,,0.0,NA,,,0.0,12,1,1,1,1,1,B10,42752
1,2.0,2.0,,NA,1.0,1.0,,12,0,1,1,1,1,B10,42755
0,,,0.0,NA,,,0.0,2,1,1,1,1,0,B10,42756
0,,,0.0,NA,,,0.0,2,1,1,1,1,1,B10,42770
1,2.0,2.0,,NA,1.0,1.0,,12,0,1,1,1,1,B10,42780
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,42781
0,,,0.0,NA,,,0.0,2,1,1,1,1,1,B10,42801
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42805
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,42806
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42811
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,42812
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42815
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,42816
0,,,0.0,NA,,,0.0,12,1,1,1,1,1,B10,42819
1,2.0,2.0,,NA,1.0,1.0,,12,0,1,1,1,1,B10,42821
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,42822
0,,,1.0,,,,1.0,2,1,1,1,1,1,B10,42832
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,42848
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,42849
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,42864
0,,,1.0,,,,5.0,2,1,1,1,0,0,B10,42865
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,42890
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,42891
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,42910
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,42911
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42915
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,42916
0,,,1.0,,,,1.0,12,1,1,1,1,1,B10,42919
0,,,1.0,,,,1.0,12,1,1,1,1,1,B10,42922
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42926
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,42927
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,42940
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,42941
0,,,0.0,NA,,,0.0,9,1,1,0,1,1,B10,42950
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,42953
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,42954
0,,,1.0,,,,1.0,12,1,1,1,0,1,B10,42968
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,42971
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,42972
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,42977
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,42978
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,42997
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,42998
0,,,1.0,,,,1.0,12,1,1,1,1,1,B10,43007
0,,,0.0,NA,,,0.0,12,1,1,1,1,1,B10,43010
1,9.0,3.0,,NA,0.0,,,6,0,1,0,1,1,B10,43018
0,,,0.0,NA,,,0.0,9,1,1,0,1,0,B10,43019
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,43022
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,43023
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,43034
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,43037
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,43055
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,43059
1,2.0,2.0,,NA,0.0,,,12,0,1,1,0,1,B10,43070
0,,,1.0,,,,1.0,2,1,1,1,0,0,B10,43071
0,,,1.0,,,,1.0,12,1,1,1,1,1,B10,43090
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,43096
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,43097
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,43115
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,43116
0,,,1.0,,,,1.0,12,1,1,1,1,1,B10,43125
0,,,1.0,,,,1.0,12,1,1,1,1,1,B10,43140
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,43146
0,,,1.0,,,,1.0,2,1,1,1,1,0,B10,43147
0,,,1.0,,,,1.0,12,1,1,1,1,1,B10,43171
1,2.0,2.0,,NA,0.0,,,12,0,1,1,1,1,B10,43174
