Burst,Date_burst_daughter,Delta_Burst_date_child,Flowering,Flowering_Date,Lateral_GU_daughter,No_Lateral_GU,No_inflo,burst_date_mother,is_in_extremity,is_loaded,nature_ancestor_V,position_ancestor_L,position_mother_L,tree,uc
1,12.0,2.0,,NA,1.0,2.0,,10,0,1,0,1,0,F2,51017
0,,,1.0,,,,1.0,12,1,1,0,1,1,F2,51018
0,,,1.0,,,,1.0,12,1,1,0,1,1,F2,51020
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,0,F2,51036
1,4.0,4.0,,NA,1.0,4.0,,12,0,1,0,0,0,F2,51037
0,,,1.0,,,,1.0,4,1,1,0,0,0,F2,51038
0,,,1.0,,,,1.0,4,1,1,0,0,1,F2,51052
0,,,1.0,,,,1.0,4,1,1,0,0,1,F2,51054
0,,,1.0,,,,1.0,4,1,1,0,0,1,F2,51062
0,,,1.0,,,,1.0,4,1,1,0,0,1,F2,51064
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,1,F2,51067
0,,,0.0,NA,,,0.0,12,1,1,0,0,0,F2,51068
0,,,0.0,NA,,,0.0,10,1,1,0,0,1,F2,51070
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,1,F2,51072
1,4.0,4.0,,NA,1.0,1.0,,12,0,1,0,0,0,F2,51073
0,,,1.0,,,,1.0,4,1,1,0,0,0,F2,51077
0,,,1.0,,,,1.0,4,1,1,0,0,1,F2,51079
1,12.0,2.0,,NA,0.0,,,10,0,1,0,0,1,F2,51082
1,4.0,4.0,,NA,1.0,3.0,,12,0,1,0,0,0,F2,51083
0,,,0.0,NA,,,0.0,4,1,1,0,0,0,F2,51084
0,,,1.0,,,,1.0,4,1,1,0,0,1,F2,51087
0,,,1.0,,,,1.0,4,1,1,0,0,1,F2,51092
0,,,1.0,,,,1.0,4,1,1,0,0,1,F2,51112
0,,,0.0,NA,,,0.0,10,1,1,0,0,1,F2,51117
0,,,0.0,NA,,,0.0,10,1,1,0,0,1,F2,51119
1,12.0,2.0,,NA,1.0,2.0,,10,0,1,0,0,0,F2,51121
1,3.0,3.0,,NA,1.0,2.0,,12,0,1,0,0,0,F2,51122
0,,,1.0,,,,1.0,3,1,1,0,0,0,F2,51123
0,,,1.0,,,,1.0,3,1,1,0,0,1,F2,51135
0,,,1.0,,,,1.0,3,1,1,0,0,1,F2,51137
1,3.0,3.0,,NA,1.0,1.0,,12,0,1,0,0,1,F2,51148
0,,,1.0,,,,1.0,3,1,1,0,0,0,F2,51149
0,,,1.0,,,,1.0,3,1,1,0,0,1,F2,51169
1,3.0,3.0,,NA,1.0,2.0,,12,0,1,0,0,1,F2,51173
0,,,1.0,,,,1.0,3,1,1,0,0,0,F2,51174
0,,,1.0,,,,1.0,3,1,1,0,0,1,F2,51187
0,,,1.0,,,,1.0,3,1,1,0,0,1,F2,51195
