Burst,Burst_date_child,Lateral_GU_daughter,No_Lateral_GU,burst_date_mother,is_loaded,nature_mother,position_mother,tree,uc
yes,12.0,yes,4.0,unknow,yes,F,A,B10,42947
no,,,,unknow,yes,F,L,B10,42948
no,,,,unknow,yes,V,A,B10,42993
yes,12.0,yes,3.0,unknow,yes,F,L,B10,42994
yes,12.0,yes,4.0,unknow,yes,F,A,B10,43013
yes,12.0,yes,5.0,unknow,yes,F,L,B10,43014
yes,12.0,yes,3.0,unknow,yes,F,L,B10,43015
no,,,,unknow,yes,F,L,B10,43016
no,,,,unknow,yes,F,A,B10,43183
no,,,,unknow,yes,F,A,B10,43200
no,,,,unknow,yes,F,L,B10,43201
yes,10.0,no,,unknow,yes,F,L,B10,43202
yes,9.0,no,,unknow,yes,V,L,B10,43203
yes,2.0,yes,2.0,unknow,yes,F,L,B10,43204
no,,,,unknow,yes,F,L,B10,43205
yes,12.0,yes,3.0,unknow,yes,V,A,B10,43255
no,,,,unknow,yes,F,A,B10,43266
no,,,,unknow,yes,F,L,B10,43267
no,,,,unknow,yes,F,L,B10,43268
no,,,,unknow,yes,F,L,B10,43269
no,,,,unknow,yes,V,L,B10,43270
no,,,,unknow,yes,F,A,B10,43281
no,,,,unknow,yes,F,L,B10,43282
no,,,,unknow,yes,V,L,B10,43283
yes,12.0,yes,3.0,unknow,yes,F,A,B10,43295
yes,2.0,yes,2.0,unknow,yes,F,L,B10,43296
no,,,,unknow,yes,F,L,B10,43297
no,,,,unknow,yes,F,L,B10,43298
yes,12.0,yes,1.0,unknow,yes,F,L,B10,43299
yes,2.0,yes,1.0,unknow,yes,F,L,B10,43300
yes,2.0,yes,3.0,unknow,yes,F,A,B10,43391
no,,,,unknow,yes,V,L,B10,43392
no,,,,unknow,yes,F,L,B10,43393
yes,2.0,yes,1.0,unknow,yes,F,L,B10,43394
yes,10.0,no,,unknow,yes,F,L,B10,43395
no,,,,unknow,yes,F,A,B10,43447
yes,2.0,yes,1.0,unknow,yes,F,A,B10,43455
yes,2.0,yes,1.0,unknow,yes,F,A,B10,43474
no,,,,unknow,yes,V,A,B10,43490
yes,12.0,yes,1.0,unknow,yes,F,A,B10,43491
no,,,,unknow,yes,F,L,B10,43492
no,,,,unknow,yes,F,L,B10,43493
no,,,,unknow,yes,F,A,B10,43541
no,,,,unknow,yes,F,A,B10,43548
no,,,,unknow,yes,F,A,B10,43562
no,,,,unknow,yes,F,A,B10,43570
no,,,,unknow,yes,V,L,B12,87
no,,,,unknow,yes,V,L,B12,114
no,,,,unknow,yes,V,L,B12,115
no,,,,unknow,yes,V,L,B12,129
no,,,,unknow,yes,V,L,B12,130
yes,10.0,yes,1.0,unknow,yes,V,L,B12,144
no,,,,unknow,yes,V,L,B12,160
no,,,,unknow,yes,V,L,B12,161
no,,,,unknow,yes,F,A,B12,43578
yes,10.0,no,,unknow,yes,V,A,B12,43591
no,,,,unknow,yes,F,L,B12,43592
yes,4.0,yes,2.0,unknow,yes,F,L,B12,43593
yes,1.0,no,,unknow,yes,V,L,B12,43594
no,,,,unknow,yes,F,A,B12,43632
no,,,,unknow,yes,F,A,B12,43636
yes,10.0,yes,4.0,unknow,yes,V,A,B12,43638
yes,10.0,yes,1.0,unknow,yes,V,L,B12,43639
yes,10.0,yes,2.0,unknow,yes,V,L,B12,43640
yes,10.0,yes,1.0,unknow,yes,V,A,B12,43814
no,,,,unknow,yes,V,L,B12,43815
no,,,,unknow,yes,F,L,B12,43816
yes,10.0,no,,unknow,yes,V,L,B12,43817
no,,,,unknow,yes,F,A,B12,43881
no,,,,unknow,yes,V,A,B12,43883
no,,,,unknow,yes,V,A,B12,43886
yes,10.0,yes,6.0,unknow,yes,V,A,B12,43889
yes,10.0,yes,3.0,unknow,yes,V,L,B12,43890
yes,10.0,yes,1.0,unknow,yes,V,L,B12,43891
no,,,,unknow,yes,F,A,B12,44198
no,,,,unknow,yes,F,A,B12,44200
yes,10.0,yes,1.0,unknow,yes,V,A,B12,44206
no,,,,unknow,yes,V,A,B12,44261
yes,10.0,yes,6.0,unknow,yes,V,A,B12,44264
yes,10.0,yes,2.0,unknow,yes,V,L,B12,44265
no,,,,unknow,yes,V,L,B12,44266
yes,10.0,no,,unknow,yes,F,A,B12,44323
no,,,,unknow,yes,V,A,B12,44330
yes,10.0,yes,1.0,unknow,yes,V,A,B12,44333
yes,10.0,yes,2.0,unknow,yes,V,A,B12,44367
yes,10.0,yes,1.0,unknow,yes,V,L,B12,44368
yes,10.0,yes,1.0,unknow,yes,V,A,B12,44503
yes,10.0,no,,unknow,yes,V,A,B12,44512
no,,,,unknow,yes,V,A,B12,44518
no,,,,unknow,yes,V,A,B12,44521
yes,10.0,yes,5.0,unknow,yes,V,A,B12,44524
yes,10.0,no,,unknow,yes,V,L,B12,44525
yes,10.0,yes,4.0,unknow,yes,V,L,B12,44526
