ER;UC;position; Area; Length; Width
8;4;L;321;50.8;10.2
8;5;L;1686;107.2;24.1
8;5;L;3523;144.3;42.2
8;5;L;3426;151.9;34.5
8;5;L;2906;146.0;31.7
8;5;L;3143;140.2;35.1
8;5;L;4665;173.0;42.2
8;5;L;1612;106.9;23.6
8;6;L;2607;132.6;29.5
8;6;L;2482;127.0;30.2
8;6;L;1667;106.2;24.6
8;6;L;1204;95.5;20.8
8;6;L;659;73.2;15.0
8;7;L;1532;101.3;23.9
8;7;L;2840;140.5;29.7
8;7;L;1402;101.3;21.8
8;7;L;3435;149.6;35.3
8;7;L;2230;122.9;27.2
8;7;L;3284;150.6;34.8
8;8;L;4665;172.2;42.4
8;8;L;1151;92.2;21.6
8;8;L;3174;145.5;34.3
8;8;L;2801;142.2;31.7
8;8;L;1418;103.6;22.9
8;8;L;4437;171.7;41.4
8;8;L;2709;135.9;31.5
8;8;L;4228;167.4;38.9
8;8;L;3039;138.4;34.8
9;1;L;3296;154.2;32.5
9;1;L;4577;182.6;38.1
9;1;L;2750;136.7;30.2
9;1;L;1148;99.6;18.5
9;1;L;2621;136.1;29.5
9;1;L;4464;164.1;39.1
9;1;L;3297;149.1;33.5
10;1;L;1691;111.5;24.6
10;1;L;614;63.5;13.7
10;1;L;5234;192.3;42.9
10;1;L;4829;192.5;39.9
10;1;L;3531;157.5;35.6
10;1;L;3487;151.9;37.6
10;1;L;3234;142.0;36.3
10;1;L;861;83.6;17.3
10;1;L;4470;169.9;39.1
