"Flowering_Week","Nb_Inflorescences","Position_A","Nature_Ancestor_F","1","3","4","5","6","7","8","9","10"
"8","3","0","0",0.0051534643081503,0.0129848138431158,0.0158750988276588,0.0649573578273605,0.201170015685244,0.292909794429775,0.242154090742065,0.102591619542198,0.0622037447944335
"9","3","0","0",0.0135057746793973,0.0330448117319365,0.0385860787771785,0.139850829584241,0.306284504797319,0.262607353426339,0.136650140462563,0.0449877004381503,0.0244828061028763
"1","5","0","0",0.31501941809972,0.306202328126356,0.136415113507863,0.149355262853172,0.0674155057798776,0.0179224831829179,0.00545234532512873,0.00147097782161498,0.000746565303349045
"3","5","0","0",0.023328292383106,0.0551654738852666,0.0611850148705844,0.196520498808427,0.327942808038741,0.206317256142083,0.0885048175782046,0.0268546064660592,0.0141812318275278
"4","5","0","0",0.131918388016167,0.219545909950496,0.156640228906758,0.255059197559557,0.163204104069131,0.0507758883491494,0.0161753172644338,0.00442503601859123,0.00225592986571721
"5","5","0","0",0.0451190121951812,0.0990866442538547,0.0988940649769257,0.257380973950278,0.295929734416731,0.13362456118179,0.0487916042693006,0.0139541193265383,0.00721928542940109
"6","5","0","0",0.0251140240140604,0.0590244879837197,0.0648735271421606,0.204259774817121,0.327516624517603,0.197958359564593,0.0830908979480853,0.0249999237876022,0.0131623802250556
"7","5","0","0",0.0114190078797877,0.0281438460914988,0.0332361544252568,0.12394255914386,0.292085383128197,0.275854409373714,0.154025118353411,0.0524063648349474,0.0288871567693274
"8","5","0","0",0.00803673236408916,0.0200445168546381,0.0241148293401593,0.0944117861946779,0.254855394779499,0.293588967300045,0.192923426808419,0.0713398660808057,0.040684480277667
"9","5","0","0",0.0209635367597159,0.0499796218613949,0.0561108883366044,0.185205128934585,0.327082345698111,0.218286303871541,0.0968127247644682,0.029766186922204,0.0157932628513763
"1","1","1","0",0.0505182367211683,0.108963593133471,0.106118894609004,0.264518727137626,0.284862061615544,0.122394025516969,0.0437762594412167,0.0124317629878097,0.00641643883719067
"3","1","1","0",0.0027557408791943,0.00700270212051396,0.00867856604225272,0.0369147793898156,0.130829343099654,0.251199512924775,0.292611396255456,0.159417838453465,0.110590120834873
"4","1","1","0",0.0172773931887407,0.0417209998469762,0.0477489438679345,0.164812650704968,0.321194390802206,0.239065723817812,0.113237658223654,0.0357732969711244,0.0191689425765835
"5","1","1","0",0.00543682311197725,0.0136850497168331,0.0167045552224773,0.0680475220060353,0.207690151785631,0.294405375783032,0.236508583732734,0.0983842352231097,0.0591377034181708
"6","1","1","0",0.00297147824891944,0.00754513799437368,0.00933931897830831,0.0395837294230519,0.13846719676447,0.258154306566618,0.288568413952423,0.151999352412052,0.103371065659784
"7","1","1","0",0.00133456161102086,0.0034084739513462,0.00425871459562423,0.0185537408109503,0.0720581040065035,0.173614244681922,0.293392328881436,0.228850057540953,0.204529773920244
"8","1","1","0",0.000936439071350853,0.00239505992719728,0.00299937488765794,0.013156983814238,0.0525233684432415,0.136655761916091,0.269697125925433,0.253391395008987,0.268244491005804
"9","1","1","0",0.00247111898328914,0.00628579127274875,0.00780275878657735,0.0333470634182422,0.120278026051221,0.24050853969778,0.297222198303084,0.170277315596698,0.121807187890359
"1","2","1","0",0.0542961449885259,0.115653682591541,0.110758049789099,0.268316495652551,0.277158927494829,0.115513902914164,0.0408116645489792,0.0115421037193857,0.00594902830092403
"3","2","1","0",0.00297300767532922,0.00754898050962872,0.00934399377109976,0.0396025428528173,0.138520275550923,0.25820040006023,0.288538509536637,0.151949049923276,0.103323240120059
"4","2","1","0",0.0186181940630808,0.0447499548034938,0.0508562132665221,0.172649331405717,0.324114823698957,0.231211289896213,0.106678386506723,0.033332608205663,0.0177891981536296
"5","2","1","0",0.00586422749386906,0.0147385849260596,0.0179474341509712,0.0726245142363068,0.216942800445047,0.295869700245817,0.22832950315804,0.0926407072836694,0.0550425280602209
"6","2","1","0",0.0032056994303152,0.00813310565837624,0.010053681059261,0.0424474001060236,0.146426157189374,0.264728791619122,0.283835489291438,0.144642608784294,0.0965270668617956
