"Flowering_Week","Burst_Month","Position_A","Nature_Ancestor_F","probability","stderror","number"
"3","9","1","2",279.738775187633,89.6675508427818,0
"4","9","1","2",312.640511364492,85.4887142410043,0
"5","9","1","2",321.513729239057,84.0911333322617,0
"6","9","1","2",323.230392898236,82.8016367793684,0
"7","9","1","2",315.645664242749,85.1195840751541,0
"8","9","1","2",307.707542504317,85.4761013225744,0
"9","9","1","2",300.844865731672,90.0914760238586,0
"1","1","1","2",357.580126270255,41.2405563636051,0
"3","1","1","2",335.754922096242,41.1865043359307,0
"4","1","1","2",368.656658273101,31.260842771724,0
"5","1","1","2",377.529876147666,26.1266098446502,0
"6","1","1","2",379.246539806845,27.5851474593062,0
"7","1","1","2",371.661811151358,29.4792176031519,0
"8","1","1","2",363.723689412926,29.4157116520744,0
"9","1","1","2",356.861012640281,43.4181451210091,0
"1","2","1","2",349.910626662946,35.4925010283508,0
"3","2","1","2",328.085422488933,37.3028201941163,0
"4","2","1","2",360.987158665793,23.8895119750381,0
"5","2","1","2",369.860376540357,19.3892220113857,0
"6","2","1","2",371.577040199537,21.9751499844575,0
"7","2","1","2",363.992311544049,23.8315147100794,0
"8","2","1","2",356.054189805618,26.066742863462,0
"9","2","1","2",349.191513032972,38.7398984202397,0
"1","3","1","2",330.236878882414,35.5745846413769,0
"3","3","1","2",308.4116747084,35.3977259235597,0
"4","3","1","2",341.31341088526,23.1666343973393,0
"5","3","1","2",350.186628759825,18.3549875214948,0
"6","3","1","2",351.903292419004,19.9787405801834,0
"7","3","1","2",344.318563763517,21.7847791220141,0
"8","3","1","2",336.380442025085,23.8956977523472,0
"9","3","1","2",329.51776525244,37.1780660552947,0
