"Flowering_Week","Nb_Inflorescences","Position_Ancestor_A","Nature_Ancestor_F","1","3","4","5","6","7","8","9","10"
"7","5","0","0",0.0101056861574328,0.0250186152800172,0.0297409978004197,0.112686382870619,0.279344170477052,0.283900214700218,0.167857589882916,0.0585966583188918,0.0327496845124331
"8","5","0","0",0.00712138303964125,0.0178165133423009,0.0215312009805499,0.0852286412410428,0.239787085239541,0.29606049014699,0.207278384976266,0.0791997813524771,0.0459765196811909
"9","5","0","0",0.0182490998105652,0.0439132136767258,0.0499743286370588,0.170028741680525,0.32285606446313,0.233786913787,0.108868943016817,0.0340667895158522,0.018255905412325
"1","1","1","0",0.0551528426947556,0.117131845248197,0.111697660220969,0.268464305390014,0.275442338638486,0.114445184509493,0.0403877986439336,0.0113912861553326,0.00588673849881916
"3","1","1","0",0.00279178139483429,0.00709240454796083,0.00878275970232419,0.037225878661949,0.13156325322576,0.251926172289817,0.292369014087398,0.158350815802219,0.109897920287737
"4","1","1","0",0.0186610782824056,0.0448404440117891,0.0509196076383893,0.172373734241218,0.323648532652622,0.23141650343171,0.106933749612891,0.0333536409621542,0.0178527091668209
"5","1","1","0",0.00588181176802713,0.0147798481744611,0.0179854664044846,0.0725555040664051,0.216556670139539,0.295784875430717,0.228637332329528,0.0926217432700196,0.0551967484168187
"6","1","1","0",0.00316422025473325,0.00802795069302099,0.00992020934295551,0.0417900055018857,0.144439149331312,0.263175404332191,0.28516068714618,0.14612219548272,0.0982001779150015
"7","1","1","0",0.00145718776073337,0.00371952559297039,0.00464133366218932,0.020117594579975,0.077411071903065,0.182695616352925,0.297064292804572,0.221390654126516,0.191502723217054
"8","1","1","0",0.00102422410654267,0.00261840141358536,0.0032754672525492,0.0143028130590058,0.0566853332202476,0.145108242537705,0.27673814797071,0.248114431052523,0.252132939387133
"9","1","1","0",0.00265008340147072,0.00673581486240869,0.00834792804913246,0.0354659185971608,0.12643025717822,0.24692996790975,0.29481559358214,0.163512216535899,0.115112219883818
"1","2","1","0",0.0544981809468838,0.115992373678249,0.110929948465091,0.267900471362923,0.276760407136574,0.115562430451508,0.0408623377999098,0.0115327153308881,0.00596113482797322
"3","2","1","0",0.00275682962477791,0.00700448019703909,0.00867560916347041,0.0367929734572853,0.130309475492993,0.250733326657696,0.292991453861026,0.15959600357061,0.111139847975102
"4","2","1","0",0.0184311225662153,0.0443232213977586,0.0503928591884742,0.171070515104548,0.323217222057658,0.232735752699927,0.10800567097362,0.0337480548047281,0.0180755812070708
"5","2","1","0",0.00580839962422063,0.0145991646113092,0.0177729054243506,0.0717796182956715,0.215021692472095,0.295592227653667,0.230008977354948,0.0935577085929106,0.0558593059708276
"6","2","1","0",0.00312462033811403,0.00792859568196118,0.00979964365958451,0.0413089294744464,0.143111076781018,0.262097868762099,0.285966835832759,0.147337765838235,0.0993246636317833
"7","2","1","0",0.00143892035626703,0.00367313608217485,0.00458392861658174,0.0198749537728591,0.0765711717122417,0.181305652922693,0.296592984056418,0.222492848819008,0.193466403661757
"8","2","1","0",0.0010113788663375,0.00258568114527994,0.00323477545967454,0.014128244280719,0.0560434269928603,0.143829499507448,0.275761275695951,0.248883111241492,0.254522606810237
