"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","4","5","9","10","11","12"
"1","11","0","0","1",0.574394133760468,0.329116404785046,0.0806854174424213,0.00964596358039904,0.000623286053435979,0.000101706781755584,9.89796427695033e-05,0.00231421578149738,0.00301989217220666
"0","12","0","0","1",0.0757290003306917,0.286710354301615,0.428386879519904,0.116563060799213,0.00863416304793929,0.00142348652454294,0.00138929097666252,0.0336412767555653,0.0475224877438665
"1","12","0","0","1",0.324365024038188,0.444740686605074,0.187703370954943,0.0260707138470738,0.00171561255198438,0.000280314812130755,0.000272896729209271,0.00640825835085246,0.00844312211054465
"0","1","1","0","1",0.0308572758958628,0.150083380860503,0.414069806112228,0.196981025414922,0.0171295945628799,0.00286365201095196,0.00280582803858342,0.0714263938480817,0.113783043255987
"1","1","1","0","1",0.157230761137911,0.406931835424929,0.331765529607079,0.0611717207491183,0.00419728974550049,0.000687900821309539,0.00067026620627364,0.0159027073003627,0.021441989007516
"0","2","1","0","1",0.0125505642040761,0.068488837167038,0.28863763205926,0.233483438173921,0.0253866396984717,0.00434357030973298,0.00428426224642353,0.119465458947157,0.24335959719392
"1","2","1","0","1",0.0693124552344401,0.271371652432709,0.433913783906579,0.124451987756065,0.00933315148395653,0.0015402638350408,0.00150368310944826,0.0365383974357189,0.0520346248060424
"0","3","1","0","1",0.0218011180017852,0.112122920668235,0.373076835365326,0.220158772787552,0.0207692776238185,0.00349965422620802,0.00343670772277305,0.0901405216559821,0.154994191948319
"1","3","1","0","1",0.115506222937757,0.359853958139675,0.382309196632534,0.0821490158713573,0.00579199892207238,0.000951216171797498,0.000927362410713561,0.0221574346375211,0.0303535942765724
"0","5","1","0","1",0.0116483453633584,0.0639422956613282,0.276669929732338,0.232691654937863,0.0257997457721284,0.00442425735413332,0.00436671912492759,0.122924555111597,0.257532496942326
"1","5","1","0","1",0.0645967428470144,0.259334863665196,0.4372090547595,0.13084607461636,0.0099149089206696,0.00163765791510528,0.00159914320870591,0.0389734883635589,0.0558880657038899
"0","9","1","0","1",0.000310255934302874,0.00183842359532088,0.0119698837580796,0.0216662210685207,0.00389388916051076,0.000716742358812181,0.000722682069825252,0.0294434595025763,0.929438442552052
"1","9","1","0","1",0.00181520136522375,0.0106448400198419,0.064955959196698,0.101203141414812,0.0162944277399759,0.00294311786664747,0.00295020732409559,0.107076267515479,0.692116837557227
"0","10","1","0","1",0.000356747832910932,0.00211323098786982,0.013730720789932,0.0247287969457848,0.00442737248618424,0.000814379981511001,0.000820952731012375,0.0332975299098485,0.919710268334946
"1","10","1","0","1",0.0020867388242534,0.0122143962419612,0.0736985736424566,0.112038924895635,0.0177303583830498,0.00319350806313029,0.00319845526861373,0.114256113989873,0.661582930691027
"0","11","1","0","1",0.164933106455866,0.413191647679705,0.323000037780164,0.0582556921442646,0.00398269681863861,0.000652553761274155,0.000635777331444154,0.0150705565145391,0.0202779315141034
"1","11","1","0","1",0.536457389642236,0.352796324901507,0.0923645668781252,0.0112077737469718,0.000725438955298419,0.000118390169382976,0.000115219524917776,0.00269499562802822,0.00351990055353313
"0","12","1","0","1",0.0656473074654166,0.262074859480306,0.436541641816637,0.129374302281913,0.00977973681525013,0.00161501157964283,0.00157694200163405,0.0384057094855935,0.0549844890736076
"1","12","1","0","1",0.291626687646098,0.449062784981228,0.209302042465352,0.0301002793826262,0.00198990431263724,0.00032523903824877,0.000316661140649876,0.00744419308365518,0.00983220794950412
"0","1","0","1","1",0.0413223236343587,0.188892226135299,0.435219395025057,0.172081796077416,0.0140831182252311,0.00234141907856322,0.00229056852104814,0.0571439554010598,0.0866251979019674
"1","1","0","1","1",0.201637478811587,0.435037282792305,0.284300026565589,0.0469763397905337,0.00316765271637565,0.000518482498205186,0.000505009924373967,0.0119296603470983,0.015928066553932
"0","2","0","1","1",0.0169153724641605,0.0897351521868738,0.335925145477019,0.230370062585758,0.0231715284864112,0.00393050288272989,0.00386717866611042,0.104111201863523,0.191973855387413
"1","2","0","1","1",0.0915868399225163,0.320011991751121,0.411479657588854,0.100330976110459,0.00725471843101966,0.00119377303427159,0.00116447235939354,0.028010656549182,0.0389669142531819
"0","3","0","1","1",0.029287644032358,0.143812604258935,0.408876298628994,0.201008356928749,0.0176846187958158,0.00295967366188921,0.00290081075310289,0.0741455545430495,0.119324438397107
"1","3","0","1","1",0.150229295906017,0.400655954667565,0.339916152091386,0.0640332125775235,0.00440947929976621,0.000722871744067155,0.00070439342701345,0.0167277068340229,0.0226009334526382
"0","5","0","1","1",0.0157043721110633,0.0839621636875242,0.324368669301209,0.232078678280128,0.0237968231195875,0.00404495328207077,0.0039821641171901,0.108101353524615,0.203960822576611
"1","5","0","1","1",0.0854948895045503,0.307945233501072,0.418372381400529,0.106082527417253,0.00773498231750758,0.00127364005142006,0.0012426076856461,0.0299583474396384,0.041895390682384
"0","9","0","1","1",0.000419966558317135,0.00248662448996817,0.0161115931297986,0.0288202910257365,0.00513344357219755,0.000943385798519047,0.000950726303755124,0.0383311283887629,0.906802840732945
"1","9","0","1","1",0.0024557734143227,0.0143381298219659,0.0852152197591515,0.125427263749713,0.0194094154183375,0.00348345273441913,0.00348504669937044,0.122048241220071,0.62413745718265
"0","10","0","1","1",0.000482890669240907,0.00285795329038056,0.0184660658338904,0.0328110522391538,0.00581476249360992,0.00106762786625589,0.00107563209892554,0.0431151987068957,0.894308816801647
"1","10","0","1","1",0.00282286358173479,0.0164400130346054,0.0962710920491742,0.137373448702259,0.0208129685477169,0.00372299659618697,0.00372095194899952,0.127988409318508,0.590847256220815
"0","11","0","1","1",0.210970636988032,0.438785469875775,0.275269341578018,0.0446477249338981,0.00300225358718464,0.00049130937912345,0.000478515706537785,0.0112960017768312,0.0150587461745988
"1","11","0","1","1",0.610395766872915,0.305359878274723,0.0706005662312356,0.00833456909578389,0.000537781643371149,8.77454909767872e-05,8.5390329744528e-05,0.00199581984426545,0.00260248221698445
"0","12","0","1","1",0.0868537716538402,0.310711975048417,0.416868886199946,0.104751558444534,0.00762304330805619,0.00125501450730003,0.00122438317945783,0.0295031997522346,0.041208167906214
"1","12","0","1","1",0.357872654895745,0.436655999681611,0.168041827465325,0.0226467726183494,0.00148454537249054,0.000242493395007481,0.000236058059375988,0.00553806121471989,0.00728158729737527
"0","1","1","1","1",0.0356444947978067,0.168463640366253,0.426282214835926,0.185108703593979,0.015606563195376,0.00260161597346853,0.00254702760988068,0.0641605687301896,0.0995851708971209
"1","1","1","1","1",0.17802227464003,0.422405370351177,0.308610967087984,0.053785356004643,0.00365686339257931,0.000598921553348841,0.000583457549590327,0.0138112007091588,0.0185255887114889
