"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"0","05-01","1","0","1",0.00839510054086892
"1","05-01","1","0","1",0.0597987783970156
"0","05-02","1","0","1",0.00293001936930172
"1","05-02","1","0","1",0.0215996012950209
"0","05-03","1","0","1",1.58362143506562e-10
"1","05-03","1","0","1",1.18969499420199e-09
"0","04-08","0","1","1",0.240848070464321
"1","04-08","0","1","1",0.704440183997865
"0","04-09","0","1","1",0.843285644515296
"1","04-09","0","1","1",0.975859996661417
"0","04-10","0","1","1",0.45066318107946
"1","04-10","0","1","1",0.860395201310764
"0","04-11","0","1","1",0.745902804109849
"1","04-11","0","1","1",0.956621597800659
"0","04-12","0","1","1",0.2183055165066
"1","04-12","0","1","1",0.67721434669818
"0","05-01","0","1","1",0.0169624237260422
"1","05-01","0","1","1",0.114753577186069
"0","05-02","0","1","1",0.00595363278307526
"1","05-02","0","1","1",0.0430571866797975
"0","05-03","0","1","1",3.22761646734273e-10
"1","05-03","0","1","1",2.42474562749986e-09
"0","04-08","1","1","1",0.0876434820882123
"1","04-08","1","1","1",0.419168965708321
"0","04-09","1","1","1",0.619673588258859
"1","04-09","1","1","1",0.924472801595974
"0","04-10","1","1","1",0.198975550694949
"1","04-10","1","1","1",0.651095543686142
"0","04-11","1","1","1",0.470574159871779
"1","04-11","1","1","1",0.86974752161799
"0","04-12","1","1","1",0.077967641919401
"1","04-12","1","1","1",0.388476991660954
"0","05-01","1","1","1",0.00519750872155874
"1","05-01","1","1","1",0.0377678689607445
"0","05-02","1","1","1",0.00181021057792617
"1","05-02","1","1","1",0.0134407471937973
"0","05-03","1","1","1",9.77287842892107e-11
"1","05-03","1","1","1",7.34187116502461e-10
"0","04-05","0","0","0",0
"1","04-05","0","0","0",0
"0","04-06","0","0","0",0
"1","04-06","0","0","0",0
"0","04-07","0","0","0",0
"1","04-07","0","0","0",0
"0","05-04","0","0","0",0
"1","05-04","0","0","0",0
"0","05-05","0","0","0",0
"1","05-05","0","0","0",0
