"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","10","11","12"
"0","1","0","1","0",0.559263031872821,0.28700609058114,0.133850077588846,0.000325759685096738,0.0155175196262082,0.00403752064588869
"1","1","0","1","0",0.10667102832458,0.234575755728711,0.481423224384792,0.00244532797145713,0.133584114360768,0.0413005492296918
"0","2","0","1","0",0.538138383621155,0.296699863706999,0.143548503729595,0.000353531227873516,0.0168641685494759,0.0043955491649007
"1","2","0","1","0",0.0988091784966973,0.223525255935671,0.487544171747264,0.00258150696625903,0.142725677766996,0.0448142090871124
"0","8","0","1","0",0.281488904731405,0.348081463022758,0.308780222785386,0.000967791949774366,0.0477213123415995,0.0129603051690769
"1","8","0","1","0",0.0355552380699577,0.102325701750898,0.450985926813482,0.00407412374072547,0.284610182348146,0.122448827276791
"0","9","0","1","0",0.542296455299903,0.294837134994173,0.141604340792617,0.000347909713517169,0.0165912666228188,0.00432289257697227
"1","9","0","1","0",0.100309913283807,0.225692096373783,0.4864408867072,0.00255464217314039,0.140899417005915,0.0441030444561542
"0","10","0","1","0",0.696438277589265,0.212261078598334,0.0802060673950633,0.000183394488902144,0.00867400616623959,0.00223717576219573
"1","10","0","1","0",0.177557694124007,0.306068039340379,0.409851808811565,0.00159345177532899,0.0816562581876017,0.0232727477611179
"0","11","0","1","0",0.879153342914968,0.0901343835542835,0.0271867163285259,5.87164489688208e-05,0.00276024431903721,0.000706596434216111
"1","11","0","1","0",0.406382565731985,0.341720770689451,0.215661176620411,0.00058399398950415,0.0281933820895859,0.00745811087906401
"0","12","0","1","0",0.272715125529429,0.346583366900311,0.316469000180161,0.00100560992440513,0.0496941365877984,0.0135327608778948
"1","12","0","1","0",0.0340833862436937,0.0986728792638696,0.445466195108271,0.00410478887596355,0.290438763360564,0.127233987147638
"0","1","1","1","0",0.583515689855881,0.275202566169019,0.12324194944156,0.000296139741250534,0.0140854931956059,0.00365816159668353
"1","1","1","1","0",0.116484110384168,0.24736601269321,0.472811222530746,0.00229016142299687,0.12349646876816,0.0375520242007195
"0","2","1","1","0",0.562644428130995,0.285402414958304,0.132338131305231,0.000321490526913326,0.0153108502359912,0.00398268484256603
"1","2","1","1","0",0.107986444648745,0.23635342993145,0.480324210470642,0.0024236098361512,0.132151969492838,0.0407603356201748
"0","8","1","1","0",0.301948330286371,0.350410748186475,0.29147874787475,0.000886725857837556,0.0435229795174609,0.0117524682771053
"1","8","1","1","0",0.0391125397788632,0.110970243419403,0.462536082611032,0.00399199417243168,0.271192075114342,0.112197064903929
"0","9","1","1","0",0.566759494106847,0.283432065275405,0.130512767501472,0.000316357664368216,0.0150624895711192,0.0039168258807889
"1","9","1","1","0",0.109609612495924,0.238519593291785,0.478942329356746,0.00239721384443559,0.130420449842132,0.0401108011689777
"0","10","1","1","0",0.716962697597896,0.199628472456638,0.0733499856134611,0.000166444996530846,0.00786576927637961,0.00202663005909431
"1","10","1","1","0",0.192486797059008,0.315895019045958,0.394162167976024,0.0014723979920912,0.0748592075481777,0.0211244103787409
"0","11","1","1","0",0.889287889981969,0.0828153114192162,0.0247026514427924,5.3214372672139e-05,0.00250092814488045,0.000640004638469471
"1","11","1","1","0",0.430480949065934,0.335825781802702,0.200762382483681,0.000532525344593027,0.0256388214399519,0.00675953986313838
"0","12","1","1","0",0.292796714769127,0.349563434825873,0.299110151995518,0.000921824396879378,0.0453356367702472,0.0122722372423554
"1","12","1","1","0",0.0374991548285098,0.10708149887964,0.457593308516397,0.00403044086653137,0.277160752129807,0.116634844779114
"0","1","0","0","1",0.391054733083959,0.344809304184141,0.225600073777868,0.000619610132198134,0.0299696276154623,0.00794665120637139
"1","1","0","0","1",0.0569869508021209,0.150721246276621,0.493590601686993,0.00351846931433597,0.21673661890042,0.0784461130195098
"0","2","0","0","1",0.370936322913635,0.348013868221701,0.239225203446181,0.000670225278668446,0.0325060669644782,0.00864831317533543
"1","2","0","0","1",0.0525714150467635,0.141445597844262,0.489107682611462,0.00363692776458413,0.228398091044196,0.084840285688732
"0","8","0","0","1",0.165461460755025,0.296940054573886,0.422695335826392,0.00170293382706332,0.0879110921098555,0.0252891229077791
"1","8","0","0","1",0.0183155845198218,0.0565631198011519,0.345365871028858,0.00411164543788733,0.35951825952293,0.216125519689351
"0","9","0","0","1",0.374851006139109,0.347469391467406,0.236520763348911,0.000660007524872941,0.0319928707630136,0.00850596075668775
"1","9","0","0","1",0.0534115027262371,0.143236743036279,0.490089070520619,0.00361425879995636,0.22609892589301,0.0835494990238984
"0","10","0","0","1",0.537266190118296,0.297087693898665,0.143958546460487,0.000354720394337926,0.0169219182495141,0.00441093087870015
"1","10","0","0","1",0.09849718034398,0.223071304191977,0.48776927734221,0.00258714526151926,0.143110449548994,0.04496464331132
"0","11","0","0","1",0.786404018030549,0.154675930304448,0.0519775920854519,0.000115233413859772,0.00543198462663819,0.00139524153905379
"1","11","0","0","1",0.257310874126221,0.343170125071427,0.330364845495226,0.00107705660437318,0.0534466888772329,0.0146304098255196
"0","12","0","0","1",0.159501344356609,0.292031134970992,0.429033956123535,0.00176115067999394,0.0912808328829822,0.0263915809858882
"1","12","0","0","1",0.0175444066169727,0.0543559610546114,0.337711083005787,0.00408184653855004,0.362668172173987,0.223638530610092
"0","1","1","0","1",0.414879435931481,0.339782411273763,0.210309030858326,0.000565246707341149,0.0272612225638489,0.00720265266523934
