"Nb_Inflorescences","Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"6","1-2","1","1","1",0.911208517515191,0
"1","3-4-5","1","1","1",0.425704275654742,2
"2","3-4-5","1","1","1",0.663252516787256,0
"3","3-4-5","1","1","1",0.514387431371368,0
"4","3-4-5","1","1","1",0.639628392072851,0
"5","3-4-5","1","1","1",0.90649440217525,0
"6","3-4-5","1","1","1",0.891585430922917,0
"1","10","0","0","2",0.0204655340696115,0
"2","10","0","0","2",0.0525946205339049,0
"3","10","0","0","2",0.0289904439076721,0
"4","10","0","0","2",0.0476439167859669,0
"5","10","0","0","2",0.214607616929482,0
"6","10","0","0","2",0.1881773720384,0
"1","12","0","0","2",0.0590703074256368,0
"2","12","0","0","2",0.14296020560232,0
"3","12","0","0","2",0.0823245162686614,0
"4","12","0","0","2",0.130676688286953,0
"5","12","0","0","2",0.450864855054484,0
"6","12","0","0","2",0.410547692635352,0
"1","1-2","0","0","2",0.110268281490405,0
"2","1-2","0","0","2",0.247725190589713,0
"3","1-2","0","0","2",0.150454793035253,0
"4","1-2","0","0","2",0.228843585989276,0
"5","1-2","0","0","2",0.618446459159277,0
"6","1-2","0","0","2",0.578942721420417,0
"1","3-4-5","0","0","2",0.0903436703718066,0
"2","3-4-5","0","0","2",0.208791740996625,0
"3","3-4-5","0","0","2",0.124283109785788,0
"4","3-4-5","0","0","2",0.192119785582097,0
"5","3-4-5","0","0","2",0.565009213166313,0
"6","3-4-5","0","0","2",0.524229112204583,0
"1","10","1","0","2",0.0469228764901693,0
"2","10","1","0","2",0.115682324517631,0
"3","10","1","0","2",0.0657290602764489,0
"4","10","1","0","2",0.105454203961634,0
"5","10","1","0","2",0.391686785159561,0
"6","10","1","0","2",0.353257225545219,0
"1","12","1","0","2",0.128869074751822,0
"2","12","1","0","2",0.28215981617956,0
"3","12","1","0","2",0.174504950748364,0
"4","12","1","0","2",0.261566181986832,0
"5","12","1","0","2",0.659253150624395,0
"6","12","1","0","2",0.621387825353284,0
"1","1-2","1","0","2",0.226031126516309,0
